MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
5211393;M1612-Mayores-C EL PROVENCIO 14;16;HORTALEZA;163;CANILLAS;;01/10/19;CALLE;EL PROVENCIO;14;20063255;MAYORES;10;ACTIVO
5211511;M1217 - Mayores - CALLE CARLOS MARÍN 10;12;USERA;127;PRADOLONGO;;05/11/19;CALLE;CARLOS MARIN;10;11086903;MAYORES;3;ACTIVO
5218554;M0610-Mayores - PZA. JOAQUIN DICENTA;06;TETUAN;064;ALMENARA;;17/12/19;PLAZA;JOAQUIN DICENTA;2;11032407;MAYORES;10;ACTIVO
5218558;M0611-Mayores - C/ SAN LEOPOLDO Nº78;06;TETUAN;064;ALMENARA;;17/12/19;CALLE;SAN LEOPOLDO;78;11032819;MAYORES;2;ACTIVO
5218564;M0612-Mayores - C/ SAN AQUILINO Nº6;06;TETUAN;064;ALMENARA;;17/12/19;CALLE;SAN AQUILINO;6;11031821;MAYORES;1;ACTIVO
17005;M0703-Mayores - JARDINES CENTRO CULTURAL GALILEO;07;CHAMBERI;072;ARAPILES;;01/01/04;CALLE;GALILEO;35;31044128;MAYORES;4;ACTIVO
5220679;M1719 - Mayores - CALLE DE CONCEPCIÓN DE LA OLIVA 1;17;VILLAVERDE;173;BUTARQUE;;13/12/19;CALLE;CONCEPCION DE LA OLIVA;1;11126604;MAYORES;7;ACTIVO
5270355;M0111-Mayores-PLAZA NELSON MANDELA;01;CENTRO;012;EMBAJADORES;;05/02/20;CALLE;AMPARO;31;11002407;MAYORES;4;ACTIVO
5268593;M0510 - Mayores PARQUE ORLANDO ZAPATA TAMAYO;05;CHAMARTIN;054;HISPANOAMERICA;;03/02/20;CALLE;PUERTO RICO;22;11024272;MAYORES;9;ACTIVO
6779455;M0915 - Mayores COMANDANTE FORTEA 25 POST.;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;;06/08/19;PASEO;COMANDANTE FORTEA;25;11051547;MAYORES;12;ACTIVO
6843085;M0209 - Mayores PLAZA PEÑUELAS;02;ARGANZUELA;022;ACACIAS;;14/02/20;PLAZA;PEÑUELAS;12;11008632;MAYORES;8;ACTIVO
7021749;M1408- Mayores- CALLE DE FOBOS 4;14;MORATALAZ;143;MARROQUINA;;19/05/20;CALLE;FOBOS;4;20169772;MAYORES;9;ACTIVO
7074478;M1318- Mayores- CALLE DEL PAYASO FOFO 11;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;;25/05/20;CALLE;PAYASO FOFO;11;20081841;MAYORES;4;ACTIVO
7074605;M1319- Mayores- CALLE DEL PAYASO FOFO 9;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;;25/05/20;CALLE;PAYASO FOFO;9;20081838;MAYORES;4;ACTIVO
7107055;M0816-Mayores MARCOS DE ORUETA 7 POST.;08;FUENCARRAL-EL PARDO;086;VALVERDE;;29/05/20;CALLE;MARCOS DE ORUETA;7;20149134;MAYORES;7;ACTIVO
