,IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
735,190770,2675,14,78,2094,388,27
736,190983,2324,13,79,1854,324,62
737,191241,36189,5,47,17055,1967,79
738,191515,5017,9,27,1364,491,91
739,191533,5392,9,84,4542,528,56
740,191621,865,22,81,703,191,35
741,191630,4385,14,49,2168,643,77
742,191649,22733,6,58,13346,1488,57
743,191676,807,27,91,735,223,70
744,191931,5911,15,92,5445,922,59
745,191968,15658,11,66,10429,1789,73
746,192192,1375,16,87,1207,228,43
747,192323,5924,10,61,3667,622,70
748,192439,5695,15,86,4949,879,16
749,192448,6001,10,80,4841,659,31
750,192703,7268,10,66,4809,757,68
751,192749,3930,12,76,3016,476,56
752,192819,10351,11,37,3876,1149,76
753,192864,4147,9,74,3095,399,41
754,192925,1505,29,54,817,443,45
755,193016,6546,12,57,3747,833,30
756,193292,3242,15,72,2356,501,55
757,193353,3551,12,86,3054,449,47
758,193399,2416,15,73,1766,386,46
759,193584,3838,11,68,2625,423,64
760,193645,1554,34,56,885,532,22
761,193654,4978,20,66,3315,1038,59
762,193900,57845,9,26,15066,5207,81
763,193973,3716,18,66,2465,700,63
764,194091,5433,15,74,4024,841,38
765,194161,700,37,96,677,264,35
766,194310,12885,14,76,9900,1848,44
767,194392,970,24,74,725,240,33
768,194541,3444,13,75,2591,451,47
769,194824,16150,8,41,6654,1411,77
770,194958,814,25,72,591,206,58
771,195003,16354,17,60,9839,2784,50
772,195030,17244,8,35,6153,1472,82
773,195128,2237,13,56,1267,297,55
774,195164,2754,15,79,2203,438,62
775,195173,2815,20,64,1811,568,42
776,195216,4424,14,46,2054,631,79
777,195234,4651,13,77,3605,621,61
778,195243,1841,18,82,1514,337,47
779,195304,2165,15,61,1335,344,66
780,195474,8082,9,68,5500,734,77
781,195526,8285,7,35,2904,660,84
782,195544,3148,17,75,2373,547,66
783,195720,4016,12,62,2521,521,69
784,195809,51634,5,53,27449,2792,46
785,196006,5761,19,54,3165,1101,45
786,196015,3391,23,78,2653,780,27
787,196024,4846,19,58,2843,935,38
788,196033,2765,28,73,2021,781,37
789,196042,5401,22,52,2843,1190,35
790,196051,4049,21,58,2388,858,23
791,196060,21178,12,55,11744,2568,62
792,196079,28232,9,42,12104,2664,76
793,196088,23093,15,56,13053,3669,64
794,196097,30300,8,39,11963,2709,58
795,196103,1538,18,50,777,288,63
796,196112,1954,14,47,929,274,41
797,196121,8570,12,47,4091,1085,59
798,196130,11256,11,48,5463,1324,39
799,196149,11518,10,46,5394,1207,61
800,196158,5883,17,51,3032,1007,57
801,196167,9164,10,45,4184,997,73
802,196176,12892,8,43,5620,1119,63
803,196185,10261,10,50,5205,1119,64
804,196194,10351,14,48,5034,1508,51
805,196200,4764,17,68,3257,821,43
806,196219,8405,9,33,2790,775,56
807,196237,3341,12,58,1939,410,29
808,196246,8193,11,45,3739,954,53
809,196264,1484,29,80,1195,433,12
810,196291,1279,25,63,818,331,39
811,196413,28269,12,49,13990,3487,76
812,196592,1732,49,58,1016,859,40
813,196866,5725,9,37,2134,559,85
814,197045,3689,13,85,3151,489,40
815,197133,7597,8,24,1832,666,92
816,197197,2942,14,69,2056,430,58
817,197230,2214,7,59,1321,161,57
818,197708,1575,54,82,1294,857,75
819,197869,12248,24,63,7744,3028,58
820,197911,2933,7,41,1225,217,45
821,197984,2197,12,67,1485,283,36
822,197993,1639,11,82,1354,194,36
823,198066,2299,10,44,1032,245,38
824,198136,11714,6,69,8180,788,44
825,198215,3226,10,40,1309,342,48
826,198303,3708,12,61,2282,474,20
827,198385,4745,10,25,1215,483,91
828,198419,30374,5,13,4077,1714,91
829,198464,15535,25,62,9658,4015,46
830,198507,3925,13,57,2243,527,33
831,198516,9949,14,53,5370,1474,80
832,198543,4010,15,54,2204,612,23
833,198561,5481,7,48,2640,435,51
834,198598,1314,15,78,1029,200,24
835,198613,3030,13,68,2066,407,53
836,198695,7663,16,64,4918,1257,60
837,198756,4777,4,36,1752,232,38
838,198808,1751,12,66,1164,226,35
839,198835,4762,6,68,3241,310,45
840,198862,3270,12,71,2329,395,16
841,198899,2899,14,64,1869,419,34
842,198950,1762,23,62,1098,415,57
843,198969,4079,11,61,2497,452,33
844,199032,700,15,54,380,109,34
845,199069,2117,15,49,1054,333,32
846,199102,4480,41,69,3120,1849,31
847,199111,3036,18,64,1944,553,51
848,199120,28437,13,27,7847,3915,86
849,199139,13742,25,68,9416,3541,42
850,199148,10112,24,60,6069,2516,45
851,199157,8886,15,50,4472,1407,29
852,199193,20700,21,50,10353,4398,61
853,199209,1634,13,46,764,222,29
854,199218,11184,18,54,6061,2053,63
855,199272,1083,30,90,984,328,41
856,199281,3087,33,72,2224,1020,25
857,199306,1662,13,96,1597,218,43
858,199412,1949,16,76,1498,316,49
859,199458,168,22,41,69,37,46
860,199582,2560,12,67,1725,327,26
861,199607,854,20,58,497,174,63
862,199643,6207,8,54,3382,507,24
863,199698,898,19,64,579,178,29
864,199847,11121,11,35,3915,1232,84
865,199865,1214,18,69,845,220,47
866,199962,5323,12,79,4221,642,50
867,199999,5164,13,55,2874,685,34
868,200004,15231,10,37,5736,1558,43
869,200059,417,39,48,203,165,28
870,200156,1088,23,56,619,261,44
871,200217,945,46,83,785,440,37
872,200253,959,41,56,543,397,27
873,200280,5404,43,73,3983,2360,41
874,200332,5812,43,84,4888,2553,41
875,200572,345,53,82,286,186,36
876,200800,10575,36,96,10204,3812,30
877,201104,2931,21,74,2180,623,50
878,201195,4220,18,63,2699,762,65
879,201371,1784,14,53,947,250,56
880,201441,15689,21,72,11370,3348,45
881,201548,3640,18,76,2768,691,55
882,201645,18418,6,41,7713,1252,74
883,201654,3267,23,74,2418,781,68
884,201690,7142,5,33,2377,420,18
885,201885,16002,28,73,11721,4486,48
886,201964,1455,49,97,1413,719,26
887,202134,6768,25,62,4255,1727,21
888,202480,15719,11,52,8327,1761,71
889,202514,1704,14,71,1220,241,43
890,202523,4770,12,45,2193,582,80
891,202763,2260,25,68,1544,581,51
892,203128,2542,11,57,1458,290,62
893,203368,3721,21,83,3101,793,71
894,203517,15970,25,83,13259,4111,42
895,203535,4054,11,38,1556,483,88
896,203580,1158,17,55,644,205,38
897,203757,1307,17,69,906,227,21
898,203775,1333,23,71,957,316,54
899,203845,4168,9,63,2662,385,50
900,204024,22520,16,66,15034,3644,76
901,204185,2660,20,71,1894,552,59
902,204194,1279,23,63,812,302,56
903,204200,1197,27,87,1048,324,51
904,204264,2001,20,75,1520,405,40
905,204468,2468,13,90,2227,338,31
906,204501,7438,10,30,2262,781,84
907,204617,2652,9,49,1310,239,36
908,204635,3325,18,67,2256,613,62
909,204796,31359,22,55,17413,7130,74
910,204857,20765,20,72,15149,4244,59
911,204909,4029,13,75,3035,541,59
912,204936,3176,18,73,2342,575,38
913,205957,1889,24,76,1437,460,67
914,206048,5228,25,38,2016,1313,38
915,206084,11066,30,90,10040,3428,37
916,206349,441,23,57,255,103,41
917,206437,1640,30,77,1265,493,51
918,206491,1534,4,58,895,69,53
919,206507,3780,7,46,1740,275,36
920,206525,5274,10,89,4711,549,61
921,206589,5583,10,56,3145,560,73
922,206622,10907,11,69,7632,1289,72
923,206817,2445,10,71,1756,249,1
924,206835,2335,8,49,1152,187,54
925,206941,10432,21,83,8761,2223,24
926,207041,968,63,98,950,612,27
927,207263,1889,44,73,1386,847,22
928,207306,888,49,59,531,437,24
929,207324,1984,26,63,1254,533,41
930,207351,858,33,47,409,289,25
931,207388,11064,34,76,8411,3872,49
932,207403,6560,8,56,3704,580,52
933,207458,1442,24,71,1038,351,56
934,207500,10991,36,80,8841,4052,53
935,207582,1417,28,43,617,399,48
936,207661,1864,42,54,1015,785,13
937,207689,602,21,94,570,127,20
938,207722,594,25,62,371,150,34
939,207847,1001,53,79,800,538,23
940,207856,405,62,88,358,254,45
941,207865,2536,36,90,2289,913,22
942,207971,7304,11,40,2965,856,62
943,208488,1790,12,55,1001,217,48
944,208646,1503,28,66,1007,426,19
945,208822,2431,25,75,1830,624,58
946,209056,6458,7,62,4059,473,72
947,209065,2139,20,92,1972,449,64
948,209108,36,22,38,14,8,14
949,209409,318,25,70,224,82,42
950,209506,2778,13,71,1982,363,33
951,209542,12414,28,78,9799,3516,48
952,209551,21263,18,74,15770,4031,57
953,209612,2658,15,86,2291,421,58
954,209807,5751,25,61,3518,1465,30
955,209825,9523,8,66,6361,835,73
956,209922,2893,12,48,1404,354,77
957,210146,2615,25,73,1910,673,29
958,210304,948,8,52,500,85,29
959,210331,2896,7,32,934,222,50
960,210401,8109,6,57,4690,545,75
961,210429,2848,36,88,2512,1026,34
962,210492,396,20,51,205,81,20
963,210571,6060,10,62,3776,655,51
964,210669,4512,13,64,2927,604,77
965,210739,2624,15,75,1989,416,67
966,210775,1792,21,77,1391,389,45
967,211088,9608,6,59,5735,597,57
968,211158,9248,23,88,8190,2218,54
969,211273,2708,13,39,1081,365,83
970,211291,7947,11,29,2345,933,89
971,211352,2127,14,74,1580,304,43
972,211361,3022,38,92,2801,1154,44
973,211431,669,30,95,637,206,56
974,211440,18884,7,25,4813,1442,82
975,211468,1063,13,58,625,141,55
976,211556,594,15,60,361,92,47
977,211583,1829,10,57,1058,192,35
978,211644,2071,51,93,1936,1072,46
979,211981,1895,21,68,1295,416,53
980,212009,5826,10,44,2589,625,84
981,212054,43945,6,81,35815,3040,54
982,212106,6793,22,74,5033,1547,72
983,212115,5621,21,78,4409,1210,48
984,212133,1821,25,64,1167,459,52
985,212160,3187,37,87,2784,1191,36
986,212197,3815,13,69,2654,530,74
987,212577,5174,11,39,2034,599,86
988,212601,3983,15,80,3203,622,58
989,212656,1670,20,68,1136,334,64
990,212674,5453,12,41,2270,703,82
991,212832,1232,17,65,812,211,58
992,212911,3585,9,23,842,330,92
993,212984,1350,22,75,1024,297,48
994,213011,1650,14,79,1314,247,44
995,213020,9367,29,90,8476,2741,43
996,213251,2227,17,74,1650,391,74
997,213303,1120,28,72,807,321,33
998,213321,2780,17,71,1988,500,64
999,213349,7785,23,81,6367,1815,46
1000,213358,1488,15,55,828,229,40
1001,213367,5547,16,80,4449,939,61
1002,213385,6766,9,34,2310,635,87
1003,213507,3793,10,66,2536,415,71
1004,213543,12589,9,30,3882,1198,81
1005,213598,3240,13,61,1987,448,33
1006,213613,3744,28,87,3286,1052,40
1007,213668,1737,19,71,1244,347,59
1008,213783,2023,31,92,1867,629,44
1009,213826,2021,20,71,1441,407,61
1010,213987,2938,20,75,2214,600,57
1011,213996,2836,22,65,1869,648,74
1012,214041,5455,23,71,3920,1299,52
1013,214069,2125,20,64,1379,435,67
1014,214157,1636,21,79,1308,356,72
1015,214166,1546,24,68,1063,379,24
1016,214175,5152,11,46,2378,579,84
1017,214272,3397,14,55,1879,503,41
1018,214591,3437,31,84,2890,1080,60
1019,214625,477,32,73,352,154,46
1020,214634,229,39,69,159,90,24
1021,214643,472,31,81,387,148,41
1022,214652,722,39,81,591,282,38
1023,214670,909,24,85,777,225,47
1024,214689,5700,24,85,4856,1379,62
1025,214698,670,31,87,585,208,36
1026,214704,2570,31,83,2135,814,48
1027,214713,2792,22,79,2232,628,52
1028,214731,1279,28,79,1011,368,33
1029,214740,439,41,87,386,183,45
1030,214759,610,36,89,544,224,33
1031,214768,1179,36,86,1018,433,44
1032,214777,47552,16,54,25772,7649,77
1033,214786,699,28,79,558,201,37
1034,214795,827,39,82,684,325,46
1035,214801,3221,21,77,2504,691,39
1036,214810,693,35,81,562,248,36
1037,214829,1329,22,84,1123,300,41
1038,215062,31282,7,12,3830,2421,92
1039,215099,5396,10,64,3458,550,53
1040,215114,610,25,51,313,155,51
1041,215266,940,40,85,802,379,46
1042,215275,1262,31,93,1175,394,45
1043,215284,1570,49,90,1419,772,46
1044,215293,24871,14,56,13959,3678,74
1045,215442,3237,16,73,2393,548,47
1046,215655,5689,17,80,4580,998,50
1047,215691,1014,11,58,592,112,46
1048,215743,1679,24,76,1277,403,66
1049,215770,7831,16,78,6165,1275,75
1050,215798,2035,23,68,1399,472,68
1051,215929,9087,9,75,6818,881,79
1052,215947,2414,15,65,1574,386,55
1053,216010,5949,25,83,4962,1520,48
1054,216038,5475,25,66,3667,1409,54
1055,216278,3217,18,72,2327,589,73
1056,216287,6615,5,14,947,388,91
1057,216339,18813,23,63,12016,4390,55
1058,216357,2519,12,65,1650,303,31
1059,216524,3947,10,66,2618,425,77
1060,216542,451,32,65,297,148,39
1061,216597,14966,11,48,7319,1659,88
1062,216667,7176,4,39,2851,326,75
1063,216694,1962,20,75,1476,410,50
1064,216764,13424,17,51,6922,2298,59
1065,216807,3378,9,73,2478,309,72
1066,216852,5461,15,67,3673,828,50
1067,216931,2998,19,75,2278,596,53
1068,217013,450,16,52,237,76,51
1069,217059,9934,10,73,7302,1064,49
1070,217156,28919,5,9,2654,1543,90
1071,217165,6013,14,76,4603,890,80
1072,217235,12364,16,76,9399,2093,49
1073,217402,9660,10,59,5776,1027,84
1074,217420,4492,23,69,3106,1071,30
1075,217484,19824,15,78,15603,2993,53
1076,217518,9021,12,80,7305,1104,57
1077,217536,5070,9,67,3400,465,63
1078,217633,2190,22,65,1424,502,39
1079,217688,3640,18,68,2507,656,31
1080,217776,698,22,93,654,158,38
1081,217819,11509,18,70,8092,2138,59
1082,217864,2557,26,80,2056,676,66
1083,217873,4354,9,52,2290,435,38
1084,217882,18500,18,57,10706,3463,73
1085,217907,1273,19,53,678,247,41
1086,217925,302,34,62,189,103,59
1087,217934,457,28,64,297,128,38
1088,217961,1565,15,52,814,237,59
1089,217998,750,25,69,523,194,54
1090,218061,3951,18,56,2239,744,30
1091,218070,5953,12,63,3808,759,82
1092,218229,3349,16,42,1412,569,44
1093,218238,2424,18,53,1290,451,29
1094,218414,887,26,59,524,238,37
1095,218441,1782,28,57,1032,505,49
1096,218539,1650,17,66,1089,296,65
1097,218645,2620,20,51,1342,526,33
1098,218654,1387,29,73,1013,410,19
1099,218663,23429,19,60,14199,4625,65
1100,218724,10993,20,74,8139,2206,38
1101,218733,4499,12,50,2285,569,26
1102,218742,3066,26,64,1969,806,33
1103,218919,2726,5,50,1377,146,28
1104,218964,4285,25,72,3096,1096,47
1105,218973,2718,15,68,1870,415,80
1106,219000,1147,31,68,781,367,59
1107,219046,957,64,89,854,619,23
1108,219082,781,40,82,648,318,37
1109,219091,665,25,70,467,168,35
1110,219198,402,29,72,291,117,49
1111,219259,1157,35,93,1080,410,41
1112,219295,401,32,66,265,131,37
1113,219356,4851,47,91,4458,2306,45
1114,219383,1385,17,96,1342,237,43
1115,219471,3606,37,87,3169,1342,45
1116,219578,119,30,52,62,36,59
1117,219602,3332,45,85,2864,1522,27
1118,219709,5111,24,79,4082,1248,63
1119,219718,2669,23,51,1362,637,22
1120,219790,1151,16,37,433,187,59
1121,219806,3916,12,66,2607,481,45
1122,219833,1943,13,47,922,254,47
1123,219949,795,26,47,376,212,31
1124,219976,3467,19,52,1827,684,56
1125,220075,4721,39,86,4083,1881,30
1126,220181,3334,6,39,1323,226,47
1127,220215,1042,34,92,959,356,46
1128,220516,933,22,63,595,210,49
1129,220598,4589,8,49,2256,405,26
1130,220604,1242,15,23,290,190,12
1131,220613,1689,48,91,1548,812,45
1132,220631,975,19,69,682,191,34
1133,220710,2196,15,72,1594,349,53
1134,220862,5990,35,68,4098,2134,30
1135,220978,9845,33,69,6888,3276,33
1136,221014,612,33,68,418,206,52
1137,221351,3555,15,57,2049,545,76
1138,221519,3285,14,60,1980,488,77
1139,221661,2313,21,38,885,490,35
1140,221731,791,26,71,564,208,39
1141,221740,7628,30,77,5917,2342,28
1142,221759,14396,29,72,10435,4276,55
1143,221768,3640,35,76,2791,1308,35
1144,221847,4973,43,93,4633,2176,39
1145,221892,930,27,77,718,259,42
1146,221953,2825,10,72,2041,310,27
1147,221971,1932,23,74,1432,452,59
1148,221999,31099,5,12,3963,1613,90
1149,222178,10188,10,48,4986,1030,49
1150,222831,2599,46,80,2092,1220,23
1151,222983,3141,11,58,1841,364,70
1152,223232,29249,10,57,16809,3190,68
1153,224004,1680,11,46,787,192,27
1154,224147,7091,28,92,6565,2051,33
1155,224226,2631,18,42,1113,492,50
1156,224323,1224,31,90,1103,380,62
1157,224527,709,48,73,522,345,29
1158,224554,4236,22,68,2888,943,36
1159,225247,2091,19,37,786,415,45
1160,225399,5872,19,73,4297,1135,36
1161,225432,3096,36,95,2944,1130,8
1162,225511,17407,19,58,10167,3434,34
1163,225548,1585,21,53,853,347,38
1164,225575,1778,11,45,816,211,19
1165,225627,4072,25,93,3790,1045,31
1166,226091,4788,30,76,3678,1451,24
1167,226152,4784,17,47,2289,828,33
1168,226231,1810,18,40,736,335,45
1169,226383,783,32,94,743,255,36
1170,226471,5540,12,84,4691,675,39
1171,226587,1396,17,59,827,250,33
1172,226833,3023,28,71,2170,847,32
1173,227216,18299,25,59,10922,4617,39
1174,227331,3789,8,65,2486,341,28
1175,227368,9313,33,62,5790,3102,28
1176,227429,632,11,98,623,70,3
1177,227526,10747,13,42,4548,1464,25
1178,227757,15415,6,16,2581,978,86
1179,227845,3694,21,78,2901,791,62
1180,227863,782,30,77,604,237,41
1181,227881,9315,25,64,6054,2413,41
1182,228042,894,33,92,828,299,38
1183,228149,5147,11,58,2997,596,47
1184,228246,12080,11,50,6125,1431,74
1185,228325,2057,16,34,717,344,25
1186,228343,3546,13,52,1850,491,68
1187,228431,11383,19,56,6474,2253,35
1188,228459,18939,27,75,14219,5181,46
1189,228468,1326,12,53,715,172,32
1190,228501,1638,18,52,855,310,21
1191,228529,6223,25,56,3536,1617,34
1192,228705,6488,19,88,5716,1255,27
1193,228723,31387,32,69,21803,10241,67
1194,228769,10679,25,59,6405,2713,30
1195,228778,38161,18,40,15335,7249,68
1196,228787,8750,25,58,5125,2233,56
1197,228796,6240,48,99,6228,3033,27
1198,228802,2104,33,82,1726,704,36
1199,228875,18551,10,47,8791,1936,70
1200,228981,1734,19,50,882,346,43
1201,229018,1007,27,84,846,276,20
1202,229027,15239,29,73,11165,4493,21
1203,229063,9746,11,45,4389,1110,11
1204,229115,19170,24,66,12709,4785,48
1205,229160,3336,8,29,998,273,30
1206,229179,4431,26,86,3812,1161,33
1207,229267,4505,11,63,2880,534,78
1208,229780,581,59,98,573,348,28
1209,229814,4632,28,74,3429,1308,34
1210,230038,11423,38,49,5645,4427,54
1211,230047,2664,19,36,960,516,36
1212,230603,8318,15,57,4749,1272,32
1213,230728,9052,42,96,8757,3824,38
1214,230764,11354,27,81,9281,3124,44
1215,230807,2461,18,75,1850,449,51
1216,230816,1130,12,64,733,140,64
1217,230825,199,22,82,165,45,13
1218,230834,2251,21,92,2072,480,44
1219,230852,5047,11,70,3573,594,54
1220,230889,4,50,100,4,2,29
1221,230898,773,17,75,584,136,37
1222,230913,864,26,96,837,225,29
1223,230931,1354,26,99,1345,365,27
1224,230940,232,20,75,176,47,54
1225,230959,8847,6,17,1518,598,91
1226,230995,3081,19,63,1956,599,54
1227,231059,4431,11,75,3328,512,72
1228,231077,183,18,68,125,33,17
1229,231086,336,27,99,334,93,28
1230,231095,49,40,93,46,20,30
1231,231165,568,34,82,469,194,34
1232,231174,22381,11,77,17357,2495,72
1233,231420,2356,10,63,1491,241,26
1234,231554,1042,11,57,597,118,42
1235,231581,5401,9,54,2967,536,57
1236,231624,14046,10,33,4665,1479,87
1237,231651,1238,18,85,1054,231,38
1238,231712,7016,18,59,4141,1276,60
1239,232025,1663,16,65,1093,267,42
1240,232043,1073,21,65,698,232,58
1241,232089,3272,17,74,2425,569,28
1242,232186,20805,14,62,12905,3011,57
1243,232256,2623,11,54,1439,293,61
1244,232265,15337,6,36,5529,1004,60
1245,232308,824,17,69,571,148,58
1246,232423,22648,19,63,14394,4325,75
1247,232557,48054,9,21,10405,4690,40
1248,232566,4055,27,81,3299,1111,55
1249,232609,5695,8,63,3627,512,52
1250,232672,3089,7,88,2729,218,39
1251,232681,4496,21,80,3640,947,71
1252,232706,2082,19,82,1718,400,52
1253,232937,3373,24,64,2192,829,30
1254,232982,10201,28,76,7833,2943,39
1255,233277,7774,25,78,6088,1986,52
1256,233295,2997,12,63,1909,382,60
1257,233301,1056,20,83,881,216,49
1258,233374,9825,8,31,3061,805,84
1259,233426,4167,13,72,3034,542,61
1260,233541,1833,25,84,1550,459,40
1261,233611,763,29,99,762,226,31
1262,233718,905,21,84,763,197,56
1263,233897,972,34,74,724,335,34
1264,233912,226,19,96,218,45,40
1265,233921,19112,28,70,13432,5364,74
1266,234030,14156,24,69,9786,3525,46
1267,234076,28984,12,29,8691,3520,90
1268,234085,2012,24,47,952,502,69
1269,234155,5729,21,94,5419,1244,37
1270,234164,4306,9,58,2518,404,30
1271,234173,3788,11,93,3527,453,41
1272,234207,6222,7,18,1147,480,88
1273,234827,4507,33,82,3703,1502,48
1274,235097,5204,30,79,4146,1579,34
1275,235167,1583,32,97,1537,509,51
1276,235316,6991,15,66,4650,1096,78
1277,235769,282,20,95,270,57,83
1278,236133,465,46,97,452,218,41
1279,236230,3443,18,76,2643,648,64
1280,236328,4588,14,85,3910,670,74
1281,236452,653,24,87,572,159,43
1282,236577,5165,14,72,3726,767,63
1283,236595,7160,13,73,5243,976,70
1284,236896,1051,37,92,976,393,32
1285,236939,14887,27,82,12219,4163,55
1286,236948,30199,20,55,16679,6253,72
1287,237011,9526,29,83,7974,2795,57
1288,237057,2586,15,56,1473,392,85
1289,237066,4044,14,64,2609,593,70
1290,237118,4892,8,43,2114,438,40
1291,237181,1736,10,49,859,185,44
1292,237215,1125,27,42,480,306,12
1293,237312,1312,20,69,906,272,40
1294,237330,2698,19,45,1233,529,29
1295,237358,1022,26,57,586,269,31
1296,237367,2799,27,66,1861,757,26
1297,237385,1198,26,74,892,315,22
1298,237525,2866,64,78,2255,1858,36
1299,237640,904,10,36,329,91,34
1300,237792,2023,37,81,1639,756,30
1301,237899,2202,18,44,986,418,11
1302,237932,2175,23,71,1549,501,33
1303,237950,1033,19,51,530,199,13
1304,237969,1762,26,76,1356,471,53
1305,238032,16521,31,85,14060,5135,48
1306,238078,1258,18,68,867,238,48
1307,238193,582,35,78,459,208,26
1308,238333,2253,13,67,1525,300,75
1309,238430,577,35,84,486,202,37
1310,238458,2868,24,81,2327,700,51
1311,238476,7174,10,70,5035,726,61
1312,238616,2510,23,69,1755,580,47
1313,238661,1297,22,76,993,298,47
1314,238980,885,24,66,586,218,45
1315,239017,2710,14,72,1970,395,77
1316,239071,417,50,71,298,210,37
1317,239080,1021,24,75,772,251,41
1318,239105,23432,8,57,13462,1990,70
1319,239318,2167,25,68,1482,544,49
1320,239390,478,24,53,258,115,32
1321,239512,1058,13,59,625,140,56
1322,239628,1320,18,75,992,238,69
1323,239716,2088,25,81,1711,539,72
1324,239743,170,23,60,102,40,32
1325,240107,1711,17,70,1208,304,41
1326,240189,5704,38,84,4830,2168,44
1327,240268,6610,31,76,5054,2073,51
1328,240277,2520,36,84,2136,921,35
1329,240329,6982,27,71,5027,1897,54
1330,240338,870,26,63,553,229,57
1331,240365,5117,35,81,4162,1841,38
1332,240374,1896,37,75,1431,712,21
1333,240417,3150,47,89,2812,1498,41
1334,240426,941,38,89,840,366,30
1335,240444,23324,26,67,15841,6279,72
1336,240453,8944,39,86,7699,3492,29
1337,240462,3399,51,96,3279,1754,40
1338,240471,2602,43,86,2254,1119,40
1339,240480,4432,36,82,3672,1637,44
1340,240727,4181,37,95,4001,1584,42
1341,243744,38828,4,5,2208,1677,88
1342,243780,31083,20,60,18779,6422,58
1343,245652,205,40,82,169,84,51
1344,262129,1376,16,60,834,222,62
1345,366711,10208,17,62,6381,1783,32
1346,367884,221,76,82,183,170,5
1347,372958,63,68,76,48,43,64
1348,377555,2459,23,75,1861,573,57
1349,377564,1198,34,85,1021,410,42
1350,384254,139,29,64,90,41,83
1351,385619,67,79,91,61,53,60
1352,399911,422,26,43,183,112,82
1353,409698,12562,7,44,5577,902,27
1354,414823,5029,9,64,3267,499,38
1355,414878,33,21,30,10,7,0
1356,433660,10804,25,65,7108,2761,34
1357,434414,1683,50,98,1651,854,13
1358,439288,1998,16,78,1568,333,50
1359,441186,201,50,60,122,101,52
1360,441900,1344,23,50,677,322,9
1361,441937,6960,10,64,4484,756,39
1362,445708,4543,13,59,2708,613,45
1363,446048,1611,15,59,960,254,57
1364,448840,3195,17,44,1406,562,34
1365,454184,3033,4,71,2158,127,59
1366,455770,122,16,53,65,20,51
