IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
218663,23429,19,60,14199,4625,65
218724,10993,20,74,8139,2206,38
218733,4499,12,50,2285,569,26
218742,3066,26,64,1969,806,33
218919,2726,5,50,1377,146,28
218964,4285,25,72,3096,1096,47
218973,2718,15,68,1870,415,80
219000,1147,31,68,781,367,59
219046,957,64,89,854,619,23
219082,781,40,82,648,318,37
219091,665,25,70,467,168,35
219198,402,29,72,291,117,49
219259,1157,35,93,1080,410,41
219295,401,32,66,265,131,37
219356,4851,47,91,4458,2306,45
219383,1385,17,96,1342,237,43
219471,3606,37,87,3169,1342,45
219578,119,30,52,62,36,59
219602,3332,45,85,2864,1522,27
219709,5111,24,79,4082,1248,63
219718,2669,23,51,1362,637,22
219790,1151,16,37,433,187,59
219806,3916,12,66,2607,481,45
219833,1943,13,47,922,254,47
219949,795,26,47,376,212,31
219976,3467,19,52,1827,684,56
220075,4721,39,86,4083,1881,30
220181,3334,6,39,1323,226,47
220215,1042,34,92,959,356,46
220516,933,22,63,595,210,49
220598,4589,8,49,2256,405,26
220604,1242,15,23,290,190,12
220613,1689,48,91,1548,812,45
220631,975,19,69,682,191,34
220710,2196,15,72,1594,349,53
220862,5990,35,68,4098,2134,30
220978,9845,33,69,6888,3276,33
221014,612,33,68,418,206,52
221351,3555,15,57,2049,545,76
221519,3285,14,60,1980,488,77
221661,2313,21,38,885,490,35
221731,791,26,71,564,208,39
221740,7628,30,77,5917,2342,28
221759,14396,29,72,10435,4276,55
221768,3640,35,76,2791,1308,35
221847,4973,43,93,4633,2176,39
221892,930,27,77,718,259,42
221953,2825,10,72,2041,310,27
221971,1932,23,74,1432,452,59
