name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Hignell Gallery,12 - 14 Shepherd Street,London,,Westminster,https://hignellgallery.com/,10033623042,E09000033,West End,E05013808,51.506319,-0.14699138,528698.2803999996,180225.7946000006
Huxley-Parlour,3-5 Swallow Street,London,,Westminster,https://huxleyparlour.com/,10033625765,E09000033,West End,E05013808,51.509189,-0.13743589,529353.2659999998,180561.77199999988
Jack Bell,13 Mason's Yard,London,,Westminster,https://www.jackbellgallery.com/,100023349684,E09000033,St James's,E05013806,51.507762,-0.13704737,529384.2673000004,180403.77410000004
JD Malat Gallery,30 Davies Street,London,,Westminster,https://jdmalat.com/,100023474837,E09000033,West End,E05013808,51.511952,-0.14777164,528628.2723000003,180850.82090000063
Karsten Schubert London,"Room 2, 44 Lexington Street",London,,Westminster,https://www.karstenschubert.com/,100023470026,E09000033,West End,E05013808,51.513081,-0.13619624,529428.2593999999,180996.75650000013
KÖNIG London,259 Old Marylebone Road,London,,Westminster,https://www.koeniggalerie.com/,100023070729,E09000033,Marylebone,E05013801,51.518231,-0.16678788,527291.2839000002,181515.83579999954
LAMB,32 St. George Street,London,,Westminster,https://www.lamb-arts.com/,100023469526,E09000033,West End,E05013808,51.512205,-0.1427317,528977.2662000004,180887.81680000015
Luxembourg + Co.,2 Savile Row,London,,Westminster,https://luxembourgco.com/,100023473107,E09000033,West End,E05013808,51.510409,-0.13949018,529207.2652000003,180693.81189999916
LGDR,22 Old Bond Street,London,,Westminster,https://lgdr.com/,100023473368,E09000033,West End,E05013808,51.509455,-0.14114305,529095.2690000003,180584.81189999916
Lyndsey Ingram,20 Bourdon Street,London,,Westminster,https://lyndseyingram.com/,See notes,E09000033,West End,E05013808,51.51115,-0.14527,528804.1158999996,180766.03319999948
Maddox Gallery,9 Maddox Street,Mayfair,London,Westminster,https://maddoxgallery.com/,100023470853,E09000033,West End,E05013808,51.51331,-0.14156259,529055.2651000004,181012.7533999998
MASSIMODECARLO,55 South Audley Street,London,,Westminster,https://www.massimodecarlo.com/,100023475695,E09000033,West End,E05013808,51.509755,-0.1521696,528329.2810000004,180598.79800000042
Mazzoleni,15 Old Bond St,London,,Westminster,https://mazzoleniart.com/,100023473356,E09000033,West End,E05013808,51.50906,-0.14059713,529134.2675000001,180541.8496000003
MMX Gallery,448 New Cross Road,London,,Lewisham,https://mmxgallery.com/,100021991067,E09000023,Deptford,E05013719,51.475247,-0.029348836,536955.2037000004,176983.91119999997
mother's tankstation,58-64 Three Colts Lane,London,,Tower Hamlets,http://www.motherstankstation.com/,See notes,E09000030,St Peter's,E05009331,51.52449,-0.05565,534983.2384000001,182410.91110000014
hmad Projects,2 Cork St,London,,Westminster,https://nahmadprojects.com/,10033547503,E09000033,West End,E05013808,51.510547,-0.14194887,529036.2676999997,180704.82379999943
Opera Gallery,134 New Bond Street,London,,Westminster,https://www.operagallery.com/,100023476548,E09000033,West End,E05013808,51.511972,-0.14447058,528857.2677999996,180858.84669999965
Parafin Gallery,18 Woodstock Street,London,,Westminster,http://parafin.co.uk/,100023469717,E09000033,West End,E05013808,51.513926,-0.14748981,528642.2681999998,181070.82729999907
Patrick Heide Contemporary Art,11 Church Street,London,,Westminster,https://www.patrickheide.com/,100022735483,E09000033,Church Street,E05013794,51.524383,-0.16864545,527145.2795000002,182196.7226999998
Paul Stolper,31 Museum Street,London,,Camden,https://www.paulstolper.com/,5159442,E09000007,Bloomsbury,E05013653,51.51791,-0.12603937,530119.2408999996,181551.74129999988
