Year,Month,Zone,WasteType,District,Name,Total
2021,February,3,Paper,17,Villaverde,"135,2"
2021,February,3,Paper,18,Villa de Vallecas,"145,24"
2021,February,3,Commercial paper,2,Arganzuela,"28,7"
2021,February,3,Commercial paper,11,Carabanchel,"33,56"
2021,February,3,Commercial paper,12,Usera,"14,24"
2021,February,3,Commercial paper,13,Puente de Vallecas,"23,46"
2021,February,3,Commercial paper,17,Villaverde,"11,08"
2021,February,3,CDW,2,Arganzuela,"142,38"
2021,February,3,CDW,11,Carabanchel,"63,21"
2021,February,3,CDW,12,Usera,"52,61"
2021,February,3,CDW,13,Puente de Vallecas,"68,04"
2021,February,3,CDW,17,Villaverde,"51,52"
2021,February,3,CDW,18,Villa de Vallecas,"70,42"
2021,February,3, Clean points,2,Arganzuela,"87,14"
2021,February,3, Clean points,11,Carabanchel,"39,28"
2021,February,3, Clean points,12,Usera,"35,12"
2021,February,3, Clean points,13,Puente de Vallecas,"40,7"
2021,February,3, Clean points,17,Villaverde,"49,88"
2021,February,3, Clean points,18,Villa de Vallecas,"84,36"
2021,February,3,Death animals,99,Sin Distrito,"6,78"
2021,February,3,PILAS,99,Sin Distrito,"5,61"
2021,February,3,Clothing containers,2,Arganzuela,"0,18"
2021,March,1,Rest,1,Centro,"3541,24"
2021,March,1,Rest,6,Tetuán,"2652,62"
2021,March,1,Rest,7,Chamberí,"2351,46"
2021,March,1,Rest,8,Fuencarral - El Pardo,"3717,42"
2021,March,1,Rest,9,Moncloa - Aravaca,"2831,5"
2021,March,1,Rest,10,Latina,"3598,9"
2021,March,1,Packaging,1,Centro,"240,58"
2021,March,1,Packaging,6,Tetuán,"371,44"
2021,March,1,Packaging,7,Chamberí,"355,18"
2021,March,1,Packaging,8,Fuencarral - El Pardo,"718,38"
2021,March,1,Packaging,9,Moncloa - Aravaca,"332,64"
2021,March,1,Packaging,10,Latina,"601,72"
2021,March,1,Glass,1,Centro,"594,9"
2021,March,1,Glass,6,Tetuán,"282,04"
2021,March,1,Glass,7,Chamberí,"252,14"
2021,March,1,Glass,8,Fuencarral - El Pardo,"460,3"
2021,March,1,Glass,9,Moncloa - Aravaca,"241,8"
2021,March,1,Glass,10,Latina,"205,46"
2021,March,1,Commercial Glass,1,Centro,"34,18"
2021,March,1,Clinicians,1,Centro,"175,96"
2021,March,1,Clinicians,6,Tetuán,"12,4"
2021,March,1,Clinicians,8,Fuencarral - El Pardo,"317,44"
