PARQUE;ESPECIE;UNIDADES 2022;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Morus alba 'Fruitless';398;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Koelreuteria paniculata;350;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Prunus dulcis;233;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Populus nigra 'Italica';223;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Fraxinus angustifolia;207;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Olea europaea;163;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Pinus pinea;126;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Cercis siliquastrum;116;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Aesculus hippocastanum;111;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Otros;2003;;;;;;;;;;;
;Total:;5.662;;;;;;;;;;;
CASA DE CAMPO (1);Pinus pinea;307882;;;;;;;;;;;
CASA DE CAMPO;Quercus ilex;208405;;;;;;;;;;;
CASA DE CAMPO;Cupresus arizonica;53310;;;;;;;;;;;
CASA DE CAMPO;Ulmus sp.;30934;;;;;;;;;;;
CASA DE CAMPO;Fraxinus angustifolia;13610;;;;;;;;;;;
CASA DE CAMPO;Pinus halepensis;9081;;;;;;;;;;;
CASA DE CAMPO;Cupresus sempervirens;3686;;;;;;;;;;;
CASA DE CAMPO;Salix sp.;1493;;;;;;;;;;;
CASA DE CAMPO;Populus nigra;1263;;;;;;;;;;;
CASA DE CAMPO;Acer negundo;922;;;;;;;;;;;
CASA DE CAMPO;Otros;3614;;;;;;;;;;;
;Total:;634.200;;;;;;;;;;;
;;;;;;;;;;;;;
;TOTAL GENERAL (2);745.001;;;;;;;;;;;
;;;;;;;;;;;;;
(1) Hasta 2020 se han ofrecido las cifras correspondientes al número de arboles de cada especie según figuraba en el Plan de Ordenacion de la Casa de Campo (no existe un recuento de unidades) ;;;;;;;;;;;;;
;;;;;;;;;;;;;
(1) Desde 2020 se han utilizado las cifras del Plan de Ordenacion de la Casa de Campo y el número de talas realizadas durante el año en curso. ;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
(2) En el total no se han considerado los árboles existentes en los Viveros del Ayuntamiento:;;;;;;;;;;;;;
Vivero de Estufas del Retiro;;;;;;;;;;;;;
Vivero de Casa de Campo;;;;;;;;;;;;;
Vivero de Migas Calientes;;;;;;;;;;;;;
Laboratorio de cultivo in Vitro;;;;;;;;;;;;;
Talleres de Estufas del Retiro;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
(2) En este informe no se han considerado los elementos clasificados como PALMACEAS.  En Madrid existen 1145 PALMACEAS en conservación por la S.G. de Parques y Viveros;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Acer negundo;;;;;;;;;;;;
;Cupresus arizonica;;;;;;;;;;;;
;Cupresus sempervirens;;;;;;;;;;;;
;Fraxinus angustifolia;;;;;;;;;;;;
;Pinus halepensis;;;;;;;;;;;;
;Pinus pinea;;;;;;;;;;;;
;Populus nigra;;;;;;;;;;;;
;Quercus ilex;;;;;;;;;;;;
;Salix sp.;;;;;;;;;;;;
;Ulmus sp.;;;;;;;;;;;;
