Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2022;;;;
SAN BLAS - CANILLEJAS;20;Ulmus sp;1408;;;;
SAN BLAS - CANILLEJAS;20;Ulmus pumila;1139;;;;
SAN BLAS - CANILLEJAS;20;Prunus cerasifera  subsp. pissardii;1139;;;;
SAN BLAS - CANILLEJAS;20;Ligustrum japonicum;1101;;;;
SAN BLAS - CANILLEJAS;20;Otros;17262;;;;
;;Total;47130;;;;
BARAJAS;21;Platanus x hispanica;3051;;;;
BARAJAS;21;Styphnolobium japonicum;954;;;;
BARAJAS;21;Celtis australis;914;;;;
BARAJAS;21;Robinia pseudoacacia;778;;;;
BARAJAS;21;Ligustrum japonicum;711;;;;
BARAJAS;21;Catalpa bignonioides;704;;;;
BARAJAS;21;Melia azedarach;651;;;;
BARAJAS;21;Pinus pinea;572;;;;
BARAJAS;21;Pinus halepensis;572;;;;
BARAJAS;21;Prunus cerasifera  subsp. pissardii;504;;;;
BARAJAS;21;Acer negundo;381;;;;
BARAJAS;21;Gleditsia triacanthos;362;;;;
BARAJAS;21;Otros;7322;;;;
;;Total;17476;;;;
;;;;;;;
;;TOTAL:;655.860;;;;
;;;;;;;
NOTA:;;;;;;;
En este informe no se han considerado los elementos clasificados como PALMACEAS.  ;;;;;;;
En Madrid existen 2.916 PALMACEAS en conservación por la S.G. de Conservación de Zonas Verdes y Arbolado urbano;;;;;;;
