ChargingStation,Address,City,AccessDaysTime,AdditionalInfo,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,Longitude,Latitude,Counties,ZipCode,TownIndex
Union-Station,50-Union-Ave,New-Haven,24-Hours-Daily,Not-Provided,0,2,0,-72.9263108,41.2974027,New-Haven,00132,93
Tod,120-Main-St,Durham,24-Hours-Daily,Not-Provided,0,2,0,-72.6809263,41.472228,Middlesex,00270,38
Delamar-Southport-Tesla-Destination,275-Old-Post-Rd,Fairfield,24-Hours-Daily,"For-Customer-Use-Only,--See-Valet-For-Access",0,3,0,-73.245943,41.146162,Fairfield,00111,51
Andrew-Ward-School,755-Melville-Ave,Fairfield,Facility-Opening-Hours,Not-Provided,0,2,0,-73.234423,41.185685,Fairfield,00174,51
Connecticut-Department-Of-Energy-And-Environmental-Protection,79-Elm-St,Hartford,8:30am-4:30pm-M-f,Not-Provided,0,2,0,-72.678633,41.763294,Hartford,00182,64
Arapahoe-Parking-Lot,105-LaSalle-Rd,West-Hartford,Facility-Opening-Hours,Not-Provided,0,1,0,-72.744596,41.759108000000005,Hartford,00158,155
Southington-Public-Library,255-Main-St,Southington,24-Hours-Daily,Not-Provided,0,2,0,-72.877465,41.596225,Hartford,00176,131
Nbcsg,84-Maher-Rd,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5160406,41.053776,Fairfield,00007,135
Paul-Miller-Nissan,930-Kings-Hwy-E,Fairfield,Facility-Opening-Hours,Not-Provided,0,1,1,-73.233711,41.167407,Fairfield,00174,51
Town-Hall,4-Brush-Hill-Rd,New-Fairfield,24-Hours-Daily,Not-Provided,0,1,0,-73.487032,41.465514,Fairfield,00045,91
Chip's-Family-Restaurant-Tesla-Destination,321--Boston-Post-Rd,Orange,24-Hours-Daily,For-Customer-Use-Only,0,2,0,-73.004741,41.2645,New-Haven,00196,107
George-Harte-Nissan,426-Derby-Ave,West-Haven,Facility-Opening-Hours,Not-Provided,0,2,1,-72.968506,41.307602,New-Haven,00011,156
Stop-Shop,148-Heights-Rd,Darien,24-Hours-Daily,Not-Provided,0,0,1,-73.4948097,41.070243,Fairfield,00005,35
East-Shore-District-Health-Department,688-E-Main-St,Branford,24-Hours-Daily,2-Hour-Limit,0,6,0,-72.756902,41.305071,New-Haven,00170,14
Bmw-Ridgefield,746-Danbury-Rd,Ridgefield,Facility-Opening-Hours,Not-Provided,0,2,0,-73.472615,41.331117,Fairfield,00043,118
Big-Y,22-Spencer-Plain-Rd,Old-Saybrook,24-Hours-Daily,Not-Provided,0,1,0,-72.416634,41.28648200000001,Middlesex,00056,106
Green-Farms-Plaza,1460-Post-Rd-E,Westport,24-Hours-Daily,Not-Provided,0,0,1,-73.314364,41.138478,Fairfield,00179,158
Bridgeport-Hospital,267-Grant-St,Bridgeport,24-Hours-Daily,Not-Provided,0,2,0,-73.166282,41.190701,Fairfield,00041,15
Community-Center,3-Buckley-Hwy,Stafford-Springs,24-Hours-Daily,Not-Provided,0,1,0,-72.289249,41.956727,Tolland,00034,134
Constitution-Plaza-South,109-Constitution-Plaza,Hartford,24-Hours-Daily,Not-Provided,0,1,0,-72.670032,41.767185,Hartford,00082,64
Town-Hall,1712-Main-St,Coventry,24-Hours-Daily,Not-Provided,0,2,0,-72.312334,41.780058,Tolland,00145,32
Curran-Volkswagen,2785-Main-St,Stratford,Facility-Opening-Hours,Not-Provided,0,1,0,-73.131808,41.198467,Fairfield,00218,138
644-West-Putnam,644-West-Putnam-Avenue,Greenwich,Not-Specified,Not-Provided,0,3,0,-73.6476069,41.016928,Fairfield,00006,57
Grove-Street-Parking-Garage,65-Grove-Street,New-Haven,Not-Specified,Not-Provided,0,2,0,-72.9217309,41.3103893,New-Haven,00275,93
Mohegan-Sun-Tesla-Destination,1-Mohegan-Sun-Blvd,Uncasville,24-Hours-Daily,"For-Customer-Use-Only,--See-Valet-For-Access",0,5,0,-72.08668800000001,41.488423,New-London,00015,86
Cvs-West-Haven,355-Campbell-Ave,West-Haven,24-Hours-Daily,Not-Provided,0,0,1,-72.948327,41.268415,New-Haven,00011,156
Central-Connecticut-State-University-Vance-Garage,150-Paul-Manafort-Sr.-Dr,New-Britain,After-5pm-Daily,Not-Provided,0,2,0,-72.766414,41.690789,Hartford,00110,89
Crown-Street-Parking-Garage,213-Crown-St,New-Haven,24-Hours-Daily,Pay-Lot,0,2,0,-72.928864,41.305993,New-Haven,00133,93
Figaro-Restaurant,90-Elm-St,Enfield,Facility-Opening-Hours,Not-Provided,0,1,0,-72.583384,41.997588,Hartford,00108,49
Middletown-School-District-Board-Of-Education,311-Hunting-Hill-Ave,Middletown,24-Hours-Daily,Not-Provided,0,2,0,-72.647076,41.541535,Middlesex,00236,83
Mansfield-Parking-Garage,9-Dog-Ln,Storrs,Facility-Opening-Hours,Not-Provided,0,4,0,-72.243355,41.804877,Tolland,00033,78
Brass-Mill-Center-Entrance-6,495-Union-St,Waterbury,6am-12pm-Daily,Not-Provided,0,2,0,-73.026799,41.55022,New-Haven,00194,151
Town-Hall,55-Main-St,Ellington,24-Hours-Daily,Not-Provided,0,2,0,-72.467484,41.903582,Tolland,00142,48
Fairfield-Tennis-Center,210-Old-Dam-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.2665157,41.1247386999999,Fairfield,00111,51
Trinity-College,18-60-Crescent-St,Hartford,24-Hours-Daily,Not-Provided,0,4,0,-72.689438,41.745582,Hartford,00182,64
Saugatuck-Fire-Station,Railroad-Place,Westport,Not-Specified,Not-Provided,0,7,0,-73.370496,41.119206,Fairfield,00179,158
Comcast,222-New-Park-Dr,Berlin,24-Hours-Daily,Not-Provided,0,4,0,-72.749512,41.597163,Hartford,00253,7
Town-Hall,41-Kent-Green-Blvd,Kent,24-Hours-Daily,Not-Provided,0,2,0,-73.47251,41.727419,Litchfield,00052,68
Dunkin'-Donuts,1205-Tolland-Tpke,Manchester,24-Hours-Daily,Not-Provided,0,0,1,-72.555059,41.797073,Hartford,00161,77
County-Line-Nissan-North,522-Winsted-Rd,Torrington,Facility-Opening-Hours,Not-Provided,0,1,0,-73.1107105,41.8269547,Litchfield,00122,143
Town-Of-Madison,761-Boston-Post-Rd,Madison,24-Hours-Daily,Not-Provided,0,2,0,-72.595184,41.28028400000001,New-Haven,00134,76
Rocky-Neck-State-Park,244-W-Main-St,Niantic,Dawn-To-Dusk,Not-Provided,0,2,0,-72.24323,41.300883,New-London,00031,45
Element-Station,111-Morgan-St,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5370682,41.0631099,Fairfield,00084,135
Saybrook-Point-Marina,2-Bridge-St,Old-Saybrook,24-Hours-Daily,Not-Provided,0,1,0,-72.351019,41.283487,Middlesex,00056,106
Town-Hall,45-Fort-Hill-Rd,Groton,24-Hours-Daily,Not-Provided,0,2,0,-72.033489,41.345816,New-London,00243,59
Harte-Nissan,165-W-Service-Rd,Hartford,Facility-Opening-Hours,Not-Provided,0,1,1,-72.656681,41.791382000000006,Hartford,00079,64
Highland-Park-Market,317-Highland-St,Manchester,24-Hours-Daily,Not-Provided,0,2,0,-72.490259,41.766005,Hartford,00263,77
Nissan-Norwich,691-W-Thames-St,Norwich,Facility-Opening-Hours,Not-Provided,0,1,0,-72.097938,41.498591,New-London,00014,104
Wesleyan-University,56-Hamlin-Ct,Middletown,24-Hours-Daily,Not-Provided,2,0,0,-72.65242,41.557262,Middlesex,00236,83
Hampton-Inn,129-Plains-Rd,Milford,24-Hours-Daily,Not-Provided,0,0,4,-73.076682,41.22269,New-Haven,00028,84
Aitoro-Appliance,401-Westport-Ave,Norwalk,Facility-Opening-Hours,Not-Provided,0,1,0,-73.390319,41.126373,Fairfield,00087,103
Putnam-Downtown-Municipal-Parking-Lot,165-Kennedy-Dr,Putnam,24-Hours-Daily,Not-Provided,0,1,0,-71.9105761999999,41.914329,Windham,00039,116
Nyala-Gar-3,400-Nyala-Farms-Rd,Westport,24-Hours-Daily,Not-Provided,0,2,0,-73.3269248,41.1223426,Fairfield,00179,158
Whole-Foods-Mkt,5c-Sugar-Hollow-Rd,Danbury,24-Hours-Daily,Not-Provided,0,2,0,-73.4755929,41.3781241,Fairfield,00001,34
East-Norwalk-Library,51-Van-Zant-St,Norwalk,24-Hours-Daily,Not-Provided,0,4,0,-73.40565000000001,41.102079,Fairfield,00247,103
Greenwich-Southbound-Travel-Plaza-Tesla-Supercharger,2000-Merritt-Parkway,Greenwich,24-Hours-Daily,For-Tesla-Use-Only,0,0,4,-73.673445,41.040555,Fairfield,00215,57
Propark-America-Omni-Hotel-Chapel-Square-Garage,155-Temple-St,New-Haven,24-Hours-Daily,Pay-Lot,2,2,0,-72.927405,41.305794,New-Haven,00133,93
Mystic-Marriott-Hotel-And-Spa-Tesla-Destination,625-North-Rd,Groton,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,2,0,-72.025954,41.365919,New-London,00243,59
Connecticut-Post-Mall-Target,1201-Boston-Post-Rd,Milford,6am-12pm-Daily,Not-Provided,0,2,0,-73.038159,41.235232,New-Haven,00193,84
Spirep,1-N-Water-St,Norwalk,24-Hours-Daily,Not-Provided,0,2,0,-73.4165867,41.0999699,Fairfield,00155,103
Town-Clerk,19-Maple-Ave,Norfolk,24-Hours-Daily,Not-Provided,0,2,0,-73.197598,41.990635,Litchfield,00117,98
Waterford-Commons,915-Hartford-Turnpike,Waterford,24-Hours-Daily,Not-Provided,0,0,6,-72.150349,41.380138,New-London,00140,152
Town-Hall,54-E-Main-St,Clinton,24-Hours-Daily,Not-Provided,0,2,0,-72.524041,41.276743,Middlesex,00271,27
Cargill-Chevrolet,23-Livery-St,Putnam,24-Hours-Daily,Not-Provided,0,3,0,-71.90810200000001,41.916161,Windham,00039,116
Bedford-Street-Garage,17-Forest-St,Stamford,Facility-Opening-Hours,Not-Provided,0,4,0,-73.537286,41.056092,Fairfield,00203,135
Town-Hall,5-Haven-Rd,Pomfret,24-Hours-Daily,Not-Provided,0,2,0,-71.9986079999999,41.859648,Windham,00148,112
Delamar-Greenwich-Harbor-Tesla-Destination,500-Steamboat-Rd,Greenwich,24-Hours-Daily,"For-Customer-Use-Only,--See-Valet-For-Access",0,3,0,-73.623525,41.017757,Fairfield,00006,57
East-Hartford-Public-Schools-Department-Of-Facilities,734-Tolland-St,East-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.602704,41.784813,Hartford,00119,43
Windham-Municipal-Parking-Lot,48-Church-St,Willimantic,24-Hours-Daily,Not-Provided,0,2,0,-72.211716,41.712492,Windham,00207,163
