latitude,longitude,municipality,street_name,house_number,house_number_addition,postal_code,ChargingStation,operator,operating_mode,num_charging_points,types_charging_points,charging_cards,cost,opening_hours,all_day_open,website
54.090066,12.132101,Stadtmitte,Lange Str.,4,,18055,Lange Strasse,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Lange-Strasse-Lange-Strasse-4/61476/
54.0894944961845,12.1298330828148,Stadtmitte,Lange Str.,40,,18055,Kröpeliner Tor Center / Radisson Blu Hotel,"Radisson Hospitality, Inc.",semipublic,2,"1x Typ 2 11 kW, 1x CEE Rot 11 kW",ohne Authentifizierung,Parking charges,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Radisson-Blu-Hotel-Lange-Strasse-40/3072/
54.089818,12.135569,Stadtmitte,Lange Str.,27,,18055,City-Ladesäule,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/City-Ladesaeule-Lange-Strasse-27/19579/
54.169428,12.036694,Seebad Diedrichshagen,Am Stolteraer Ring,2,,18119,Strandhafer Aparthotel,MENNEKES Elektrotechnik GmbH & Co. KG,semipublic,2,Typ 2 22kW,EnBW mobility+;Shell Recharge,,24/7,1,https://www.e-stations.de/ladestationen/map
54.157938,12.064424,Lichtenhagen,Neustrelitzer Str.,6,,18109,Neustrelitzer Str. 6,Wohnungsgenossenschaft WARNOW Rostock-Warnemünde eG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/E-Ladesaeule-Neustrelitzer-Strasse-6-Neustrelitzer-Strasse-6/31628/
54.0922324536467,12.1651722108809,Brinckmansdorf,Rövershäger Chaussee,1,,18146,Rövershäger Chaussee 1,Allego GmbH,public,7,"1x Typ 2 43 KW, 1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW, 2x Combo Typ 2 320 kW, 2x Combo Typ 2 160 kW",EinfachStromLaden;EWE;GET CHARGE;Plugsurfing;Shell Recharge,chargeable,24/7,1,
54.088112,12.141234,Stadtmitte,Neuer Markt,2,,18055,Vienna House Sonne,Vienna House Hotelmanagement GmbH,semipublic,1,1x Schuko 3 kW,ohne Authentifizierung,Parking charges,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Vienna-House-Sonne-Neuer-Markt-2/42605/
54.096936,12.102629,Kröpeliner-Tor-Vorstadt,Am Kayenmühlengraben,2,,18057,Boulderhalle,Shell EV Charging Solutions Germany GmbH,public,1,Typ 2 11 kW,ADAC e-Charge;EnBW mobility+;Plugsurfing;Shell Recharge;SMATRICS NET,chargeable,24/7,1,https://www.e-stations.de/ladestationen/map
54.180061,12.080908,Seebad Warnemünde,Seestr.,15,a,18119,Seestr.,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,EinfachStromLaden;EnBW mobility+;GET CHARGE;MAINGAU Autostrom;Plugsurfing,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Seestrasse-Seestrasse-15/40637/
54.178861,12.077543,Seebad Warnemünde,Seestr.,19,,18119,Parkhaus Hotel NEPTUN,Hotel NEPTUN Betriebsgesellschaft mbH,semipublic,2,Typ 2 11 kW,Spontanladen,Parking charges,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Hotel-NEPTUN-Seestrasse-19/18059/
54.076424,12.100077,Südstadt,Satower Str.,7,,18059,Lidl Satower Str.,Lidl Vertriebs-GmbH & Co. KG,semipublic,3,"1x Combo Typ 2 50kW, 1x Typ2 22 kW, 1x CHAdeMO 50kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,Mo-Sa 07:00-21:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Lidl-Satower-Strasse-Satower-Strasse-7/46657/
54.064278,12.115427,Südstadt,Röntgenstr.,12,,18059,Röntgenstrasse 12,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Roentgenstrasse-Roentgenstrasse-12/50437/
54.076764,12.120313,Südstadt,Pütterweg,1,,18059,Pütterweg 1,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;GET CHARGE;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kaufland-Puetterweg-2/40016/
54.086512,12.141436,Stadtmitte,Ernst-Barlach-Str.,1,,18055,IHK zu Rostock,Industrie- und Handelskammer zu Rostock,private,1,Typ 2 11 kW,,,Mo-Do 07:00-18:00; Fr 07:00-15:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/IHK-zu-Rostock-Ernst-Barlach-Strasse-1-3/61032/
54.138336,12.114106,Peez,Zum Südtor,5,,18147,BorderShop,E.ON SE,semipublic,3,"1x Typ 2 43 kW, 1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW",ohne Authentifizierung,chargeable,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/BorderShop-Zum-Suedtor-5/42667/
54.076812,12.12136,Südstadt,Pütterweg,2,a,18059,Kaufland Südstadt,Kaufland Stiftung GmbH & Co. KG,public,3,2 x Combo Typ 2 (CCS) EU 60 kW; 1 x Typ 2 Dose 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,Mo-Sa 07:00-22:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kaufland-Suedstadt-Puetterweg-1/74456/
54.1077639361823,12.0521365507219,Evershagen,Messestr.,25,,18069,IKEA,IKEA Deutschland GmbH & Co. KG,public,6,"2x Typ 2 22 kW, 2x CHAdeMO 20 kW, 2x Combo Typ 2 20 kW",ohne Authentifizierung,free of charge,Mo-Sa 10:00-20:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/IKEA-Messestrasse-25/41179/
