"TRAM","Rang","GEOM_WKT"
"LRD0055","30-35 µg/m³","MultiLineString ((428046.33848704 4585480.86419569, 428043.79126674 4585484.39344141, 428039.70060782 4585487.90806929, 428034.88244288 4585490.13652464, 428029.94621494 4585491.75427756, 428023.88562597 4585491.75432372, 428019.06548834 4585490.69302618, 428014.99077797 4585488.26982738, 428010.44879378 4585483.72791246, 428009.12463879 4585479.933512, 428008.79435405 4585476.04310987, 428009.14595055 4585471.5917021, 428010.23238803 4585467.50666494, 428012.8309419 4585463.40413937, 428016.09477485 4585460.24649082, 428021.12517515 4585457.70696636, 428024.8696589 4585456.85793359, 428028.7348567 4585456.67652435, 428032.91454164 4585457.05229808, 428037.92959172 4585458.07540076, 428042.06715564 4585460.40855703, 428045.27025883 4585464.04586432, 428047.28062121 4585467.7724591, 428048.06266721 4585472.33418697, 428047.59744275 4585476.77793586, 428046.33848704 4585480.86419569))"
"T03126Z","20-25 µg/m³","MultiLineString ((427628.52906097 4580722.69280779, 427638.05309871 4580725.72874005, 427671.34050579 4580772.60055923, 427668.13465958 4580793.51561586))"
"T17664P","25-30 µg/m³","MultiLineString ((428403.78908365 4580304.7012685, 428285.0378573 4580430.73236575))"
"T03549S","25-30 µg/m³","MultiLineString ((429638.85581856 4580414.78904973, 429691.66153966 4580499.07277804))"
"T02570L","25-30 µg/m³","MultiLineString ((430898.10108104 4584271.90937962, 430993.28789493 4584359.54079174))"
"T21188P","20-25 µg/m³","MultiLineString ((428922.52568079 4583700.50852282, 428865.5982384 4583653.90788528, 428864.47015171 4583642.73587689))"
"T05779M","25-30 µg/m³","MultiLineString ((431945.63708049 4586034.78619024, 431941.89527962 4586061.84926178, 431951.73159032 4586100.87924967, 431959.74085085 4586133.6552414))"
"T02359K","25-30 µg/m³","MultiLineString ((430895.14187671 4582536.36176584, 430792.14652594 4582642.72070797))"
"T15869S","20-25 µg/m³","MultiLineString ((428251.42491801 4578600.04978561, 428353.53948639 4578654.33009419, 428359.58852456 4578658.13805415, 428366.98058008 4578663.96300704, 428376.83766485 4578673.14694642, 428412.90503966 4578715.26973786))"
"T05212E","20-25 µg/m³","MultiLineString ((429655.59947361 4586818.64179979, 429602.84722838 4586797.02416672, 429603.13922335 4586796.30116334, 429598.19619968 4586794.18319757, 429590.50214207 4586788.14524649))"
"T09141W","30-35 µg/m³","MultiLineString ((432227.33040646 4584044.99897546, 432415.84913215 4584233.65483511))"
"T18863Y","30-35 µg/m³","MultiLineString ((431832.76667717 4586664.83204952, 431750.52355506 4586665.48967304))"
"T09781W","20-25 µg/m³","MultiLineString ((434283.89449482 4585482.3416201, 434260.86862411 4585504.07282889))"
"T12286P","20-25 µg/m³","MultiLineString ((430414.27467823 4586558.62561698, 430362.28810214 4586625.27111701))"
"T05128J","20-25 µg/m³","MultiLineString ((429687.94745224 4586677.12332777, 429625.55526222 4586664.76578283))"
"T17365H","25-30 µg/m³","MultiLineString ((429268.52765645 4580731.7923526, 429284.69697923 4580771.02529002, 429347.92657056 4580836.09090935, 429378.98360257 4580834.01667005))"
"T17881W","25-30 µg/m³","MultiLineString ((430240.64524403 4584821.12618594, 430338.74258869 4584846.471481))"
"T03496W","25-30 µg/m³","MultiLineString ((429411.70769934 4580576.75302563, 429476.88480278 4580577.18153083))"
"T02486Q","20-25 µg/m³","MultiLineString ((428399.97128756 4581254.45276031, 428332.61971203 4581324.03437944))"
"T03905S","25-30 µg/m³","MultiLineString ((430602.01290274 4579571.81843816, 430719.20659042 4579770.21185595, 430777.4015171 4579880.3995848, 430788.78469461 4579901.45753099, 430791.29174497 4579907.57852142))"
"T09191G","25-30 µg/m³","MultiLineString ((433160.50608038 4583813.17756105, 433218.72777916 4583761.79104223))"
"T05424O","25-30 µg/m³","MultiLineString ((429639.05283344 4587925.9116881, 429640.04498114 4587945.20671119, 429643.86709756 4587959.79470528, 429657.92628832 4587982.10963377, 429670.29535326 4587988.16054929, 429713.25950085 4587998.88323951, 429726.06655473 4588003.38414924, 429747.36072722 4588021.81201653, 429763.70589813 4588041.04092273, 429774.8871254 4588068.76188168))"
"T04181K","25-30 µg/m³","MultiLineString ((427659.26844488 4578129.96255217, 427688.10615963 4578086.48126527, 427719.50375888 4578027.24193433, 427750.90048161 4577984.29462881, 427835.58754846 4577844.00976656))"
"T11287M","20-25 µg/m³","MultiLineString ((427334.47116816 4584088.32620115, 427279.54378235 4584048.78855919))"
"T15241O","20-25 µg/m³","MultiLineString ((428648.51097949 4584058.57115223, 428661.94690691 4584046.29103132, 428666.95496205 4584052.52200265))"
"T15430R","25-30 µg/m³","MultiLineString ((432325.59837805 4584547.12699327, 432315.35148979 4584563.88709619, 432358.0708502 4584734.02103057, 432344.9778806 4584740.66613969))"
"RD0044R","30-35 µg/m³","MultiLineString ((428630.22124799 4587112.81734618, 428642.8624099 4587149.26402738, 428646.82249707 4587159.96401426, 428648.90254285 4587165.58400737, 428651.86260795 4587173.57399755, 428654.57513442 4587180.91818681))"
"T15470Z","25-30 µg/m³","MultiLineString ((431603.80526567 4590219.34440639, 431578.73851674 4590257.5756564, 431558.67966666 4590281.44884591))"
"T04255L","20-25 µg/m³","MultiLineString ((430284.14087415 4584500.90937285, 430403.78981089 4584599.67061635))"
"T14839I","20-25 µg/m³","MultiLineString ((429092.81305866 4584635.8846446, 429111.69515688 4584644.95151456, 429119.39822441 4584652.25946696, 429123.15136698 4584670.23446557, 429121.88044369 4584680.57649089))"
"T11997J","20-25 µg/m³","MultiLineString ((431503.5794099 4588280.71610857, 431535.18783324 4588330.10694738))"
"T20099L","25-30 µg/m³","MultiLineString ((432214.81463708 4588429.151957, 432279.384963 4588458.9535151))"
"T20269L","20-25 µg/m³","MultiLineString ((432311.98031966 4585991.73934954, 432223.80428515 4586005.1390381))"
"T02032Q","25-30 µg/m³","MultiLineString ((430593.00574878 4582844.08652273, 430500.05632535 4582938.83437078))"
"T08398P","20-25 µg/m³","MultiLineString ((429696.48974413 4584603.18699938, 429642.57225795 4584681.67152843))"
"T07454C","25-30 µg/m³","MultiLineString ((427472.45492013 4581658.08743512, 427610.6185037 4581706.81945902))"
"T07575K","25-30 µg/m³","MultiLineString ((424919.28289371 4581703.32446301, 424927.40813345 4581705.29948282, 424967.85597304 4581720.51893198, 424991.03161002 4581740.58434138, 425018.67140047 4581778.56482504, 425058.35667941 4581842.46071015, 425087.61395739 4581879.95707848, 425130.42755795 4581938.82295601, 425253.6355507 4582124.12919439, 425266.65422487 4582124.2746711))"
"T02478Q","25-30 µg/m³","MultiLineString ((428408.02764696 4581826.86257775, 428330.60214455 4581908.11029123, 428314.25410673 4581906.45441305))"
"T16641E","20-25 µg/m³","MultiLineString ((432279.43398413 4581479.50966429, 432292.67903361 4581483.33156984))"
"T06506T","25-30 µg/m³","MultiLineString ((432270.25458018 4588146.50109017, 432403.86585988 4588156.12409366))"
"T15059S","20-25 µg/m³","MultiLineString ((431250.91053621 4587689.21508394, 431204.80688656 4587744.89052146))"
"T01565K","25-30 µg/m³","MultiLineString ((431195.35722347 4581599.85406062, 431212.94812917 4581583.86190287))"
"T16643G","20-25 µg/m³","MultiLineString ((432629.58997588 4586277.82140267, 432574.81203451 4586296.71284727))"
"T11453I","20-25 µg/m³","MultiLineString ((427935.87263817 4584684.96352787, 427937.99376213 4584700.83053577, 427899.80463324 4584823.16601192))"
"T18436J","25-30 µg/m³","MultiLineString ((428502.97548652 4578755.96011675, 428477.78378956 4578801.01937814, 428468.85495165 4578824.20048198, 428463.64216192 4578852.98156628))"
"T20055Z","25-30 µg/m³","MultiLineString ((433748.14244575 4584399.78300674, 433656.92500644 4584491.91083677))"
"T20525I","20-25 µg/m³","MultiLineString ((427610.6212237 4585619.10845086, 427592.50232389 4585636.06661593))"
"T15270T","25-30 µg/m³","MultiLineString ((429176.06404921 4587256.7361467, 429170.09194813 4587244.60917285, 429167.33785348 4587232.67317481, 429169.40274368 4587217.75313535, 429171.92764677 4587204.44009495, 429177.40256677 4587192.75703469))"
"T18902O","25-30 µg/m³","MultiLineString ((428797.77540946 4582769.35605436, 428818.37059071 4582789.01892766, 428835.84789149 4582825.04284964))"
"T19643S","20-25 µg/m³","MultiLineString ((430439.84110004 4581342.70539061, 430434.95306135 4581338.60942137, 430427.02711532 4581347.32849478, 430414.47719424 4581360.2756097, 430408.26818361 4581360.14265654))"
"T16871Q","20-25 µg/m³","MultiLineString ((425245.10201121 4582520.26670864, 425246.78913363 4582536.04972006, 425247.27519061 4582543.45772775, 425239.32128718 4582557.81081035))"
"T01226U","20-25 µg/m³","MultiLineString ((430353.86007711 4581225.6028627, 430344.04425316 4581250.77697564, 430321.69141218 4581276.26718406))"
"T03291L","30-35 µg/m³","MultiLineString ((428073.92316935 4580778.21350668, 428062.66915696 4580778.86759326))"
"T11552K","20-25 µg/m³","MultiLineString ((426416.6209095 4584242.00242388, 426386.55539119 4584311.54375871))"
"T12720M","20-25 µg/m³","MultiLineString ((431366.64129454 4588161.55595688, 431349.42238238 4588176.67111124, 431329.29542297 4588186.14527868))"
"T19421G","25-30 µg/m³","MultiLineString ((432050.8273971 4585394.69937075, 432053.01059131 4585552.02160605))"
"T09000K","20-25 µg/m³","MultiLineString ((431684.84798312 4584756.46115845, 431614.66132268 4584815.30777849))"
"T12332E","25-30 µg/m³","MultiLineString ((430322.64548859 4586948.63393343, 430244.33551568 4586968.22355882))"
"T10877Y","25-30 µg/m³","MultiLineString ((426436.30403235 4583464.45708806, 426401.99477602 4583437.73230842))"
"T20914R","25-30 µg/m³","MultiLineString ((428098.20816742 4579455.13627733, 428102.84312137 4579448.12623124))"
"T21012S","25-30 µg/m³","MultiLineString ((431803.96140828 4585710.68774414, 431804.8440966 4585801.43688262))"
"T17729P","20-25 µg/m³","MultiLineString ((427484.75652272 4582656.69287297, 427490.42658318 4582663.49684024, 427522.3678078 4582686.55563246, 427636.68860407 4582768.07288721))"
"T16511V","25-30 µg/m³","MultiLineString ((431969.08139399 4584752.85000229, 432041.78789969 4584804.57253039))"
"T03023T","25-30 µg/m³","MultiLineString ((428537.6345393 4580205.83109842, 428554.1804599 4580192.01495132, 428559.76439994 4580182.98189493, 428564.69037512 4580178.71285089))"
"T00712Z","25-30 µg/m³","MultiLineString ((431493.7850295 4582171.57467509, 431497.92026977 4582202.34669081, 431504.04252047 4582234.08669296, 431513.01487996 4582279.5616945, 431514.21694679 4582288.10869846, 431517.32105557 4582301.78969586, 431521.85036732 4582341.88472281, 431524.29848175 4582356.44272651))"
"T00249X","20-25 µg/m³","MultiLineString ((432189.7536525 4581454.07730453, 432217.92196407 4581357.73094321))"
"T14081M","25-30 µg/m³","MultiLineString ((429765.91358142 4587074.51536844, 429818.08037984 4587037.24591211))"
"T02518H","25-30 µg/m³","MultiLineString ((431089.32048354 4583891.65435627, 431183.16931647 4583982.08278296))"
"T16297I","20-25 µg/m³","MultiLineString ((430098.66103975 4588123.48350596, 430074.60136602 4588171.4527651, 430070.7814249 4588180.00280773, 430203.58612888 4588245.87990226))"
"T19455Q","25-30 µg/m³","MultiLineString ((430555.88775295 4583378.18261567, 430468.69242647 4583352.99923765))"
"T18014R","20-25 µg/m³","MultiLineString ((425531.45500062 4580878.6089976, 425544.93923674 4580906.98593894, 425559.42345399 4580932.6698685, 425569.27154249 4580942.32580853, 425587.42469513 4580958.74069583, 425616.26686706 4580975.51450238, 425646.31197295 4580983.33628593, 425665.68902051 4580985.64714211))"
"T00608A","25-30 µg/m³","MultiLineString ((431640.20595235 4581736.87590083, 431679.66862506 4581817.38272525))"
"T16339B","25-30 µg/m³","MultiLineString ((431509.46138463 4585239.08121681, 431504.81581177 4585296.47434399))"
"T00944N","20-25 µg/m³","MultiLineString ((430736.65057357 4581870.9309503, 430751.42772454 4581887.78586412))"
"T10651I","20-25 µg/m³","MultiLineString ((427892.61368924 4583516.7240821, 427893.23728557 4583595.05519666))"
"T13020V","20-25 µg/m³","MultiLineString ((430229.78859372 4586585.19905775, 430230.0596996 4586599.13207796, 430269.94401688 4586632.91182845))"
"T21176L","25-30 µg/m³","MultiLineString ((432450.65523368 4584765.67337799, 432468.50523266 4584761.92623726, 432558.5090432 4584850.22668996))"
"T15675K","25-30 µg/m³","MultiLineString ((431185.33316208 4581857.01653026, 431191.26426215 4581868.97850364, 431191.08635375 4581881.06752348, 431185.93141468 4581890.1345764, 431180.77545939 4581897.06762606))"
"T15757L","25-30 µg/m³","MultiLineString ((431154.85228168 4588335.16583597, 431202.60869751 4588380.25954568))"
"T00003D","20-25 µg/m³","MultiLineString ((432163.82659438 4581056.75689039, 432178.51565417 4581061.64278663))"
"T07478K","20-25 µg/m³","MultiLineString ((427764.56062968 4581560.37506305, 427737.09002733 4581618.33836107))"
"T12504G","20-25 µg/m³","MultiLineString ((430502.92147422 4587834.17997854, 430544.13948357 4587826.96765492))"
"T07834K","20-25 µg/m³","MultiLineString ((429774.8967998 4583542.96679679, 429811.67513967 4583580.18957342))"
"T15421Q","25-30 µg/m³","MultiLineString ((427650.86825284 4584429.4643105, 427649.88860498 4584475.97738856, 427654.93675049 4584494.0833776))"
"T07355A","20-25 µg/m³","MultiLineString ((427610.6185037 4581706.81945902, 427569.86409005 4581792.3399004))"
"T07761K","20-25 µg/m³","MultiLineString ((429843.45484591 4583929.52486133, 429902.06128365 4583975.16948445))"
"T14998W","15-20 µg/m³","MultiLineString ((424918.38562647 4586622.36354931, 424878.56650001 4586613.8788391, 424857.81946308 4586613.28099615, 424838.86736547 4586604.30412626, 424802.16129303 4586602.30940263, 424797.17429431 4586603.50644251, 424779.22031312 4586609.69058904))"
"T07161S","25-30 µg/m³","MultiLineString ((427224.82834825 4582291.72029174, 427202.55382784 4582359.41556501, 427181.17630638 4582426.78783095))"
"T02225X","25-30 µg/m³","MultiLineString ((429663.87620759 4583093.11295792, 429517.17862131 4583045.77400204))"
"T08810G","25-30 µg/m³","MultiLineString ((432505.13562522 4584543.26162894, 432534.35486648 4584569.05444693))"
"T06363W","20-25 µg/m³","MultiLineString ((432246.58696037 4587673.74652057, 432243.35709978 4587692.80057524, 432237.21839469 4587732.96668538))"
"T01001F","25-30 µg/m³","MultiLineString ((431069.48279039 4581700.09016765, 431044.63294571 4581725.58939493))"
"T16285E","20-25 µg/m³","MultiLineString ((431582.66814045 4588228.98642768, 431545.34626668 4588253.27474879))"
"T05402I","25-30 µg/m³","MultiLineString ((429615.97331572 4587730.25555286, 429713.82176979 4587770.24487206))"
"T15448B","30-35 µg/m³","MultiLineString ((431905.08364448 4588653.99843081, 432064.44343738 4588674.23405799))"
"T10645K","25-30 µg/m³","MultiLineString ((427780.93268802 4583276.16856544, 427780.36734924 4583363.2937026))"
"T16118Q","25-30 µg/m³","MultiLineString ((430354.32196705 4584630.2450369, 430339.95583729 4584616.11512431, 430333.48877284 4584608.96216246))"
"T18253E","25-30 µg/m³","MultiLineString ((432764.2856307 4584097.18799122, 432750.48665986 4584103.81410571, 432721.61284315 4584133.75436968))"
"T02613F","25-30 µg/m³","MultiLineString ((431031.48065075 4584319.69444239, 430993.28789493 4584359.54079174))"
"T07443Z","20-25 µg/m³","MultiLineString ((428068.54862573 4581893.08426155, 428099.04903159 4581808.64890003, 428078.16985594 4581789.76602987))"
"T06393C","20-25 µg/m³","MultiLineString ((432527.88853903 4587560.77021179, 432514.62928138 4587661.42247172))"
"T09627N","25-30 µg/m³","MultiLineString ((433895.87227327 4585399.70142286, 433969.72125111 4585513.83204643))"
"T16448F","25-30 µg/m³","MultiLineString ((432707.82970278 4584118.09145019, 432721.61284315 4584133.75436968))"
"T16174Y","25-30 µg/m³","MultiLineString ((429120.056126 4586617.99055515, 429123.8761319 4586617.98752607, 429160.17116641 4586615.12524528, 429162.12216549 4586614.6042296, 429162.25213516 4586610.57222218, 429163.16306664 4586601.3352005, 429164.0730257 4586595.74118465, 429176.17112519 4586606.4091096, 429178.9031501 4586609.14109317, 429186.31823544 4586618.8970523, 429189.57128282 4586624.49103647, 429191.78231086 4586627.74302483, 429193.47332629 4586629.43501467, 429195.29435176 4586632.42700558, 429196.8563985 4586638.28100303, 429204.53146257 4586645.17495562, 429205.70248014 4586647.25695003, 429206.74255364 4586656.75295727, 429210.85358902 4586660.5859321))"
"T01873T","25-30 µg/m³","MultiLineString ((429827.96343342 4581905.5558987, 429924.5013026 4582000.37530943))"
"T09722L","20-25 µg/m³","MultiLineString ((433176.00714981 4586057.62391745, 433131.0253121 4586220.2075168))"
"LRD0015","35-40 µg/m³","MultiLineString ((428172.82454661 4585895.89128649, 428161.90426733 4585866.53252781))"
"T02316Z","25-30 µg/m³","MultiLineString ((430114.5640178 4582187.55714976, 430251.45225935 4582323.14731604))"
"T08584P","20-25 µg/m³","MultiLineString ((428659.14279413 4584820.88822634, 428601.52871417 4584822.11966689))"
"T21250E","25-30 µg/m³","MultiLineString ((428617.65810489 4580264.12758008, 428635.76104572 4580252.66142477, 428654.7699971 4580242.40226444, 428668.02995709 4580234.44315136))"
"T11592S","25-30 µg/m³","MultiLineString ((427597.50482448 4585173.02384384, 427578.16897349 4585196.56602674, 427556.33201302 4585206.22820768, 427542.43600047 4585207.41931532, 427527.8779416 4585202.654419))"
"T08155Y","20-25 µg/m³","MultiLineString ((429569.41763056 4583430.93219025, 429548.95581621 4583459.50038936))"
"T18759Z","25-30 µg/m³","MultiLineString ((430984.73773065 4581446.2674209, 430982.58873923 4581447.83343958, 430973.91887736 4581467.78053582))"
"T18882B","20-25 µg/m³","MultiLineString ((431006.67870654 4588421.57509514, 430995.93786072 4588444.1202122, 430907.25573197 4588445.29888579))"
"T09549Q","25-30 µg/m³","MultiLineString ((432889.84278972 4585275.90783404, 432937.94222963 4585324.23954753))"
"T20374L","20-25 µg/m³","MultiLineString ((431387.14490923 4590084.95483724, 431393.49302035 4590098.30281011, 431400.98113079 4590111.32577383, 431406.51620855 4590120.44174621, 431421.49235532 4590136.71965829, 431453.86455521 4590156.43244393))"
"T00638G","25-30 µg/m³","MultiLineString ((431454.38156967 4581987.50169202, 431458.31370264 4582004.19868778))"
"T04322F","20-25 µg/m³","MultiLineString ((431279.04831858 4585014.21261835, 431208.98576279 4585086.78225797))"
"T03046A","25-30 µg/m³","MultiLineString ((428508.89866394 4580096.31414776, 428503.8672153 4580038.21509627, 428503.69786837 4579992.53202698))"
"T09834S","20-25 µg/m³","MultiLineString ((434324.01234673 4585322.65306201, 434260.70372156 4585384.95864017))"
"T17708K","25-30 µg/m³","MultiLineString ((430556.50720781 4581727.91709629, 430523.14947903 4581770.40541397, 430488.75926179 4581748.82864151))"
"T07962R","25-30 µg/m³","MultiLineString ((429534.43933579 4584056.68840591, 429561.05511724 4584022.5491516))"
"T14502M","35-40 µg/m³","MultiLineString ((428333.3652638 4586268.83898589, 428360.32154274 4586268.94674221, 428455.07519658 4586538.32908089, 428438.72859605 4586555.32064081))"
"T10004J","20-25 µg/m³","MultiLineString ((433477.84973922 4583441.11459259, 433459.32981106 4583454.30875287))"
"T01024M","25-30 µg/m³","MultiLineString ((430159.72452999 4581851.09429248, 430097.59451772 4581862.05478171))"
"T05038I","20-25 µg/m³","MultiLineString ((429822.13776273 4585105.68180123, 429822.21795688 4585131.17283905, 429806.62504258 4585145.60297952))"
"T03257J","20-25 µg/m³","MultiLineString ((428356.67475453 4581061.33579259, 428425.89527458 4581115.77634996))"
"T12679C","25-30 µg/m³","MultiLineString ((431212.64768922 4588113.18804646, 431179.8699199 4588150.3403536))"
"T07272Y","20-25 µg/m³","MultiLineString ((427538.83426413 4581953.28038354, 427494.1766537 4582013.67981596))"
"T13076L","20-25 µg/m³","MultiLineString ((433069.25667943 4582726.73359441, 433102.53501496 4582764.13439966))"
"T13413I","25-30 µg/m³","MultiLineString ((433850.60957054 4585844.179474, 433849.0106847 4585859.57451062, 433829.99532331 4585947.72879488))"
"VA0009I",">40 µg/m³","MultiLineString ((426284.11817737 4584019.83359008, 426279.94984309 4584027.40155082, 426274.90988897 4584034.47159998, 426268.8499442 4584042.9816591, 426263.76999055 4584050.12170866))"
"T13830V","15-20 µg/m³","MultiLineString ((424296.72334071 4586844.83663582, 424305.6634788 4586861.21659364, 424318.72362295 4586877.54652001, 424326.48370987 4586887.41647653, 424330.15379047 4586897.2964642, 424330.56386302 4586906.78647609, 424315.86405016 4586934.51663189, 424315.46414448 4586947.04665474, 424319.54424005 4586958.81664229, 424323.21432929 4586969.83663176, 424329.90141236 4586979.41959599, 424329.90140857 4586978.9195952))"
"T11344E","20-25 µg/m³","MultiLineString ((428793.50942733 4583693.42149399, 428761.19959232 4583721.69678288))"
"T16626F","25-30 µg/m³","MultiLineString ((430736.45121958 4581429.5872764, 430725.29234347 4581448.1673894))"
"T03647T","25-30 µg/m³","MultiLineString ((430237.82854897 4580521.52366161, 430183.58068096 4580549.90911709))"
"T02021N","25-30 µg/m³","MultiLineString ((429928.90403139 4582753.13842416, 430003.0876978 4582825.75297038))"
"T01564J","20-25 µg/m³","MultiLineString ((431186.62514907 4581591.83911449, 431195.35722347 4581599.85406062))"
"T00034K","25-30 µg/m³","MultiLineString ((432246.6273747 4580879.33299012, 432261.094428 4580883.4098868))"
"T14482Z","20-25 µg/m³","MultiLineString ((431291.1673661 4587262.49610085, 431313.60966635 4587297.54798671))"
"T15477G","25-30 µg/m³","MultiLineString ((428399.58508939 4579515.57608051, 428456.19983764 4579602.72978517, 428489.62019068 4579642.49059271))"
"RD0084F","30-35 µg/m³","MultiLineString ((428023.74130453 4585474.96946885, 428026.01882385 4585480.98606148, 428032.92896171 4585497.79603563, 428033.99579497 4585500.63024412))"
"T11059C","20-25 µg/m³","MultiLineString ((427669.22447297 4583796.96420928, 427629.11978939 4583846.77759041))"
"T04268Q","25-30 µg/m³","MultiLineString ((430369.34289345 4584748.91010227, 430356.74702404 4584768.62822734, 430389.78322743 4584788.6360075, 430394.61325662 4584791.48997525))"
"T12393R","20-25 µg/m³","MultiLineString ((431223.28395854 4588014.58080954, 431266.96652005 4588079.74658207))"
"T05816A","30-35 µg/m³","MultiLineString ((432053.01059131 4585552.02160605, 432053.79699823 4585737.71289712))"
"T17042R","20-25 µg/m³","MultiLineString ((429137.68883347 4586047.30550933, 429112.33262043 4586024.34466562, 429109.21158026 4586019.67668191))"
"T13348Q","25-30 µg/m³","MultiLineString ((425356.55992546 4582253.70743722, 425440.74014325 4582365.83098214))"
"T01392H","25-30 µg/m³","MultiLineString ((430232.64056823 4581578.18632093, 430205.72978854 4581612.63357807))"
"T06953M","25-30 µg/m³","MultiLineString ((432643.75394447 4589436.94729703, 432674.04414156 4589456.73909869))"
"T17205S","15-20 µg/m³","MultiLineString ((431821.86898525 4591060.12907128, 431786.48486292 4591051.26932566, 431777.46984528 4591050.79439326, 431753.50875037 4591043.20356303, 431750.18770378 4591037.74657967, 431735.24165531 4591034.42568778, 431707.01059875 4591032.76489919, 431689.45554081 4591028.73202596, 431670.95145439 4591021.14115437, 431658.85240315 4591016.8712394, 431589.16816594 4590999.91274113))"
"T18218B","20-25 µg/m³","MultiLineString ((432498.17548267 4582421.92445198, 432563.95804886 4582483.07504743))"
"T20236C","25-30 µg/m³","MultiLineString ((427917.31613087 4580409.66912892, 427901.78341946 4580450.85331059))"
"T18007S","25-30 µg/m³","MultiLineString ((428037.87428441 4585803.69849265, 428013.41732073 4585813.51269455, 427959.94540558 4585835.69213711, 427945.66545699 4585845.41426137, 427938.9815202 4585855.1363278, 427936.85460659 4585866.98536292, 427938.98169038 4585877.61936371, 427944.75476373 4585886.12633334, 427952.95782016 4585891.89828011, 427986.6820105 4585910.12805247, 427996.70809965 4585919.84999166, 428001.56917619 4585928.96396921, 428003.69627378 4585941.42097291, 428003.08838782 4585956.6120018, 428000.98949102 4585970.67604025))"
"T13784G","15-20 µg/m³","MultiLineString ((423815.48662048 4586057.1590537, 423836.26261229 4586051.7828869))"
"T08171Y","25-30 µg/m³","MultiLineString ((429258.81169736 4583371.29246319, 429248.49871815 4583376.12154901, 429243.21473281 4583379.12359378, 429207.82300876 4583422.60792922))"
"T11258H","20-25 µg/m³","MultiLineString ((428634.42084875 4584307.23563669, 428603.55602434 4584336.6109162))"
"T00370X","25-30 µg/m³","MultiLineString ((431412.50127393 4581562.29935815, 431437.3005936 4581599.32622704))"
"T09620G","20-25 µg/m³","MultiLineString ((434199.84279392 4585274.81692469, 434138.68316064 4585335.62348426))"
"T05440O","30-35 µg/m³","MultiLineString ((429321.56414271 4587758.11771066, 429398.6510662 4587785.17522496, 429454.10383607 4587804.47820276))"
"T01542D","25-30 µg/m³","MultiLineString ((431259.72870386 4581518.36244812, 431275.8225923 4581500.40329868, 431289.61651529 4581487.46017434))"
"T03313A","20-25 µg/m³","MultiLineString ((428444.12901849 4580946.63195109, 428427.71716462 4580969.21111063))"
"T12970C","15-20 µg/m³","MultiLineString ((431751.05112648 4590961.50945383, 431735.76420786 4590975.36559139, 431721.60628401 4590988.30271897, 431713.27827297 4590988.5567825, 431703.84719806 4590980.62084157, 431696.82809696 4590968.73987619, 431688.53200992 4590958.97292379, 431678.11792166 4590949.48098788, 431671.91888128 4590945.43102853))"
"T11368M","20-25 µg/m³","MultiLineString ((428895.13473142 4583844.24794962, 428816.03115568 4583916.13566087))"
"T07858S","25-30 µg/m³","MultiLineString ((429262.47327281 4583840.73314841, 429309.27062764 4583877.8758486))"
"T05136J","20-25 µg/m³","MultiLineString ((429999.24646145 4586614.77685932, 429929.5590979 4586713.07954662))"
"T08876Y","20-25 µg/m³","MultiLineString ((431670.70929564 4584931.78753038, 431724.79426308 4585047.93629658))"
"T17661M","25-30 µg/m³","MultiLineString ((430127.53930492 4586039.39096249, 430147.00920103 4586021.68578594, 430157.64113505 4586010.79468758, 430159.71508723 4586004.05266099, 430160.75296718 4585987.97562733, 430157.89926815 4585896.17750194, 430157.76920811 4585888.26849025))"
"T00641B","25-30 µg/m³","MultiLineString ((431470.40501295 4582042.5716549, 431474.56510475 4582053.80564058))"
"T02350B","25-30 µg/m³","MultiLineString ((430893.05043359 4582346.94849274, 430799.00601982 4582443.20835187))"
"T12305B","25-30 µg/m³","MultiLineString ((430596.80966058 4587047.28801507, 430613.07789932 4587075.48793686, 430636.54523588 4587115.13182237, 430658.23454008 4587150.8647151))"
"T03065D","25-30 µg/m³","MultiLineString ((427532.32809642 4581010.45298304, 427521.88437468 4581049.24012223))"
"T08523C","25-30 µg/m³","MultiLineString ((429538.98443886 4584989.32478162, 429538.82240406 4584984.78377601, 429534.60636914 4584981.05380248, 429477.12103863 4584949.31719226))"
"T15506U","20-25 µg/m³","MultiLineString ((427675.23973122 4582645.31740611, 427627.69854457 4582630.43474509, 427593.66551375 4582633.31400847))"
"T12209C","20-25 µg/m³","MultiLineString ((431071.14551277 4587062.77644865, 431139.35399604 4587112.6430117))"
"T07186B","20-25 µg/m³","MultiLineString ((425420.6667631 4582978.55307599, 425453.44304585 4583009.0788733))"
"T20422C","20-25 µg/m³","MultiLineString ((430609.70213072 4586710.50538019, 430676.84211626 4586694.85784696))"
"T07844M","20-25 µg/m³","MultiLineString ((429617.5793661 4583517.87595583, 429652.58063892 4583546.64273316))"
"T07866S","25-30 µg/m³","MultiLineString ((429558.06552533 4584076.80425657, 429598.04483568 4584109.47900177))"
"T11265G","25-30 µg/m³","MultiLineString ((427443.51019544 4583938.08514239, 427476.60938254 4583955.94291758))"
"T16247Y","25-30 µg/m³","MultiLineString ((430426.87802103 4586997.61322241, 430418.251068 4587005.58430044, 430351.06497576 4587007.16081163, 430334.71193996 4587005.78193324, 430258.65996982 4587025.2875409, 430253.93091031 4587018.39156587, 430249.98979981 4587004.59957385, 430250.58170377 4586991.79354891, 430244.33551568 4586968.22355882))"
"T12388U","25-30 µg/m³","MultiLineString ((430898.01607624 4588096.70640317, 430891.73546361 4588149.11953388))"
