Any,Mes,Desc_Mes,Temperatura
1812,11,Novembre,10.7
1812,12,Desembre,7.5
1813,1,Gener,5.4
1813,2,Febrer,7.2
1813,3,Març,8.1
1813,4,Abril,11.6
1813,5,Maig,16.7
1813,6,Juny,17.4
1813,7,Juliol,18.7
1813,8,Agost,20.3
1813,9,Setembre,17.2
1813,10,Octubre,15.2
1813,11,Novembre,10.4
1813,12,Desembre,7.8
1814,1,Gener,6.5
1814,2,Febrer,5.3
1814,3,Març,7.3
1814,4,Abril,11.6
1814,5,Maig,13.9
1814,6,Juny,17.2
1814,7,Juliol,19.7
1814,8,Agost,20.1
1814,9,Setembre,17.3
1814,10,Octubre,13.8
1814,11,Novembre,10.3
1814,12,Desembre,9.0
1815,1,Gener,4.4
1815,2,Febrer,8.7
1815,3,Març,11.2
1815,4,Abril,10.9
1815,5,Maig,15.3
1815,6,Juny,17.3
1815,7,Juliol,20.1
1815,8,Agost,20.3
1815,9,Setembre,19.8
1815,10,Octubre,15.8
1815,11,Novembre,8.5
1815,12,Desembre,6.4
1816,1,Gener,5.9
1816,2,Febrer,7.2
1816,3,Març,9.1
1816,4,Abril,10.7
1816,5,Maig,14.6
1816,6,Juny,16.2
1816,7,Juliol,18.4
1816,8,Agost,18.8
1816,9,Setembre,17.8
1816,10,Octubre,15.2
1816,11,Novembre,9.4
1816,12,Desembre,6.8
1817,1,Gener,7.5
1817,2,Febrer,9.2
1817,3,Març,10.5
1817,4,Abril,11.1
1817,5,Maig,14.1
1817,6,Juny,18.1
1817,7,Juliol,20.3
1817,8,Agost,20.8
1817,9,Setembre,19.4
1817,10,Octubre,12.9
1817,11,Novembre,11.6
1817,12,Desembre,7.3
1818,1,Gener,7.7
1818,2,Febrer,9.3
1818,3,Març,10.7
1818,4,Abril,12.1
1818,5,Maig,14.2
1818,6,Juny,18.1
1818,7,Juliol,21.3
1818,8,Agost,21.6
1818,9,Setembre,18.4
1818,10,Octubre,15.7
1818,11,Novembre,12.7
1818,12,Desembre,7.1
1819,1,Gener,7.3
1819,2,Febrer,8.1
1819,3,Març,9.9
1819,4,Abril,13.8
1819,5,Maig,16.3
1819,6,Juny,18.9
1819,7,Juliol,21.5
1819,8,Agost,22.0
1819,9,Setembre,19.6
1819,10,Octubre,15.7
1819,11,Novembre,10.5
1819,12,Desembre,8.5
1820,1,Gener,6.6
1820,2,Febrer,8.1
1820,3,Març,7.9
1820,4,Abril,12.8
1820,5,Maig,16.1
1820,6,Juny,17.5
1820,7,Juliol,21.8
1820,8,Agost,22.7
1820,9,Setembre,17.7
1820,10,Octubre,13.7
1820,11,Novembre,9.3
1820,12,Desembre,7.7
1821,1,Gener,8.3
1821,2,Febrer,7.7
1821,3,Març,10.6
1821,4,Abril,11.5
1821,5,Maig,15.1
1821,6,Juny,17.7
1821,7,Juliol,20.2
1821,8,Agost,21.8
1821,9,Setembre,20.6
1821,10,Octubre,14.7
1821,11,Novembre,12.4
1821,12,Desembre,11.1
1822,1,Gener,6.2
1822,2,Febrer,8.7
1822,3,Març,12.3
1822,4,Abril,12.7
1822,5,Maig,17.4
1822,6,Juny,22.8
1822,7,Juliol,22.4
1822,8,Agost,21.9
1822,9,Setembre,19.4
1822,10,Octubre,15.5
1822,11,Novembre,12.5
1822,12,Desembre,7.1
1823,1,Gener,7.1
1823,2,Febrer,8.9
1823,3,Març,8.9
1823,4,Abril,11.5
1823,5,Maig,16.8
1823,6,Juny,17.3
1823,7,Juliol,19.5
1823,8,Agost,21.5
1823,9,Setembre,20.2
1823,10,Octubre,14.3
1823,11,Novembre,10.7
1823,12,Desembre,8.2
1824,1,Gener,5.8
1824,2,Febrer,8.7
1824,3,Març,9.4
1824,4,Abril,11.5
1824,5,Maig,15.3
1824,6,Juny,17.2
1824,7,Juliol,22.2
1824,8,Agost,21.6
1824,9,Setembre,18.4
1824,10,Octubre,15.3
1824,11,Novembre,12.5
1824,12,Desembre,9.8
1825,1,Gener,6.1
1825,2,Febrer,8.0
1825,3,Març,9.8
1825,4,Abril,13.8
1825,5,Maig,15.8
1825,6,Juny,19.5
1825,7,Juliol,21.9
1825,8,Agost,21.0
1825,9,Setembre,20.4
1825,10,Octubre,14.5
1825,11,Novembre,10.0
1825,12,Desembre,9.2
