IPEDSID,Year,Ranking
131520,2014,142
228875,2014,82
110671,2014,112
196088,2014,109
130943,2014,75
445188,2014,>150
122436,2014,91
100858,2014,91
126614,2014,86
165334,2014,75
185828,2014,>150
145600,2014,>150
137351,2014,>150
127060,2014,91
209551,2014,109
230764,2014,>150
212054,2014,97
204024,2014,75
179159,2014,101
104179,2014,119
122612,2014,>150
195003,2014,>150
196103,2014,>150
181002,2014,>150
146719,2014,101
221759,2014,101
218663,2014,112
186399,2014,>150
129242,2014,>150
216339,2014,>150
104151,2014,142
111948,2014,>150
231174,2014,82
155317,2014,101
178396,2014,97
145725,2014,109
153603,2014,101
190044,2014,121
131450,2014,>150
202480,2014,112
207500,2014,101
193654,2014,>150
102049,2014,>150
186371,2014,>150
216366,2014,>150
144740,2014,>150
236595,2014,>150
186584,2014,>150
157085,2014,119
153269,2014,>150
183044,2014,97
174914,2014,>150
207971,2014,86
232186,2014,>150
100751,2014,86
100663,2014,>150
132903,2014,>150
110583,2014,>150
163268,2014,>150
131283,2014,121
167783,2014,>150
117140,2014,>150
181464,2014,101
228787,2014,>150
120883,2014,112
126818,2014,121
190567,2014,>150
212106,2014,>150
171128,2014,117
130226,2014,>150
122409,2014,>150
201885,2014,>150
176017,2014,>150
204857,2014,135
106397,2014,128
236939,2014,128
186131,2013,1
166683,2013,6
166027,2013,1
130794,2013,3
243744,2013,6
144050,2013,4
215062,2013,8
162928,2013,13
110404,2013,10
198419,2013,8
147767,2013,12
182670,2013,10
217156,2013,15
221999,2013,17
179867,2013,14
227757,2013,17
190415,2013,15
