name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Applecart Arts,170 Harold Rd,,,Newham,http://www.applecartarts.com/,10012836969,E09000025,Plaistow North,E05013918,51.53441802,0.025974218,540614.7690000003,183668.5343999993
The Scoop,Queen's Walk,,,Lambeth,https://www.visitlondon.com/things-to-do/place/3720745-scoop,10013532078,E09000022,Waterloo & South Bank,E05014118,51.50417225,-0.120831813,530519.7774,180033.35539999977
Broadway Theatre,Catford Broadway,Catford,,Lewisham,https://www.broadwaytheatre.org.uk/,10023226829,E09000023,Rushey Green,E05013730,51.44572095,-0.022921983,537490.1535999998,173712.6813999992
Stockwell Playhouse,208 Wandsworth Road,,,Lambeth,http://www.stockwellph.com/,10023851231,E09000022,Stockwell West & Larkhall,E05014111,51.47648579,-0.132823448,529766.0931000002,176933.2890000008
Battersea Barge,Nine Elms Lane,,,Wandsworth,http://www.batterseabarge.com/bbevents/,10025500313,E09000032,Nine Elms,E05014015,51.48265903,-0.139325265,529297.1684999997,177608.27300000004
London Palladium,1-4 Argyll Street,,,Westminster,http://london-palladium.co.uk/,10033529083,E09000033,West End,E05013808,51.51436,-0.14022,529145.4522000002,181131.88099999912
Britten Opera Theatre,Royal College of Music, Prince Consort Road,,Westminster,NA,10033558053,E09000033,Knightsbridge & Belgravia,E05013797,51.49979219,-0.178465057,526532.2033000002,179445.18040000089
Jermyn Street Theatre,16B Jermyn St, St. James's,,Westminster,http://www.jermynstreettheatre.co.uk/,10033536763,E09000033,West End,E05013808,51.50967047,-0.136510341,529416.1272999998,180616.94669999927
Harold Pinter Theatre,Panton St,,,Westminster,http://www.atgtickets.com/venues/harold-pinter-theatre/,10033540343,E09000033,St James's,E05013806,51.50983451,-0.133275661,529640.1184999999,180640.90780000016
Gielgud Theatre,Shaftesbury Ave, Soho,,Westminster,https://www.delfontmackintosh.co.uk/theatres/gielgud-theatre/,10033543105,E09000033,West End,E05013808,51.51252024,-0.134808564,529526.1341000004,180936.85219999962
Vaudeville Theatre,404 Strand,,,Westminster,https://www.nimaxtheatres.com/theatres/vaudeville-theatre/,10033544051,E09000033,St James's,E05013806,51.51085658,-0.124083583,530275.0458000004,180770.8705000002
Royal Opera House,Bow St,,,Westminster,http://www.roh.org.uk/,10033547198,E09000033,St James's,E05013806,51.51355733,-0.124260621,530255.0598999998,181070.88150000013
Institute of Contemporary Arts,The Mall, St. James's,,Westminster,https://www.ica.art/,10033548625,E09000033,St James's,E05013806,51.50714179,-0.131915742,529742.1309000002,180343.88209999911
Apollo Theatre,Shaftesbury Ave, Soho,,Westminster,https://www.nimaxtheatres.com/theatres/apollo-theatre/,10033548808,E09000033,West End,E05013808,51.51201028,-0.134987535,529515.1618999997,180879.82760000043
May Fair Theatre ,The May Fair Hotel, Stratton Street, Mayfair,Westminster,http://www.themayfairhotel.co.uk/en/may-fair-theatre.html,10033549456,E09000033,West End,E05013808,51.50802526,-0.14548366,528798.0998,180418.18260000087
Palace Theatre,Shaftesbury Ave, Soho,,Westminster,https://www.nimaxtheatres.com/theatres/palace-theatre/,10033553103,E09000033,West End,E05013808,51.5135962,-0.131233936,529771.1075999998,181062.82699999958
Soho Theatre,21 Dean Street,,,Westminster,https://sohotheatre.com/,10033554562,E09000033,West End,E05013808,51.51488794,-0.134513511,529539.8916999996,181200.66489999928
Theatre Royal Drury Lane ,Catherine St,,,Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/theatre-royal,10033555899,E09000033,St James's,E05013806,51.51338539,-0.121947845,530416.0221999995,181055.87659999914
