tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De La Florida 0  ;28008;PRINCIPE PIO. MOSTRADOR TAQUILLAS RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;438992;4474794;;2018-1556
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De Recoletos 0  ;;VESTÍBULO PRINCIPAL AL LADO DE LA TAQUILLA RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;441385;4474971;;2018-1557
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Centro De Información Al Lado De Pantallas 0  ;;RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;440330;4474242;;2018-1558
Centro educativo;Privada;080;Majadahonda;https://www.wikidata.org/wiki/Majadahonda;Calle Sorolla 4  ;28222;HALL DEL EDIFICIO DE PRIMARIA COLEGIO ALEGRA SLU;426883;4478361;;2018-1564
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Federico Salmón 13 Baja ;28016;EN EL CENTRO DE CONTROL DE ENTRADA FEDEMES S.L.;443340;4479320;24H;2018-1572
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De Pablo Ruiz Picasso 1 32 ;28020;TORRE PICASSO - PLANTA 32  -ENTRADA ;441255;4477961;24/7;2018-1268
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4  ;28223; CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1297
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Cardenal Herrera Oria 242  ;28035;EDIFCIO A- JUNTO SECRETARIA BACHILLERATO Y F.P. ;439184;4481609;08.00 A 22:00 H;2018-1298
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Francisco Sancha 12 3ª ;28034;TERCERA PLANTA A LA DCHA -EN EL SERVICIO MÉDICO REDSYS SERVICIOS DE PROCESAMIENTO;441785;4482036;;2018-1309
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Francisco Sancha 12  ;28034;HALL DE ENTRADA NIVEL DE CALLE junto arco seguridad REDSYS SERVICIOS DE PROCESAMIENTO;441788;4482047;;2018-1310
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Santo Domingo Savio 2  ;28017;COLEGIO U PARROQUIA STO. DOMINGO SAVIO ;446202;4475721;8.30 H 22:30 L A V EVENTOS PUNTUALES ;2018-1338
Centro educativo;Pública;106;Parla;https://www.wikidata.org/wiki/Q824651;Calle Lago Tiberíades 1 Baja ;28981;HALL DE ENTRADA CEIP ANTONIO MACHADO;433923;4454231;L A V 9-14;2018-1345
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Los Arqueros 2  ;28024;"EN EL HALL DEL EDIFICIO DE LA PISCINA CUBIERTA CENTRO DEPORTIVO S.C. MILITAR ""LA DEHESA""";432664;4470387;8-22;2018-1347
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Los Arqueros 2  ;28024;"EN EL HALL DEL EDIFICIO CHALET SOCIAL CENTRO DEPORTIVO S.C. MILITAR ""LA DEHESA""";432664;4470387;8-22;2018-1348
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;065;Getafe;https://www.wikidata.org/wiki/Q8802;Avda Isaac Newton 1  ;28906;SALIDA DE TIENDA. JUNTO ATRIL SEGURIDAD BRICODEPOT;441140;4460001;6:30-22:00;2018-1351
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Los Olivos 9  ;28003;SECRETARIA COLEGIO PRESCHOOLL FEM;439160;4477321;;2018-1353
Centro de trabajo con más de 250 trabajadores;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Gabriel García Márquez 2 Baja ;28232;VESTÍBULO ASCENSORES JUNTO HALL PRINCIPAL AMEC FOSTER WHEELER;424789;4486580;;2018-1370
Centro educativo;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Complejo Euopa Empresarial. Edificio Madrid 2 Baja ;;U-TAD CENTRO DIGITAL S.L.;424334;4487955;24H;2018-1373
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;106;Parla;https://www.wikidata.org/wiki/Q824651;Avda De Los Planetas 42  ;28983;COMPLEJO DEPORTIVO PARLA ESTE. ENLA RECEPCIÓN DEL CENTRO SIDECU SA;435552;4452770;L A V 8-23 S 9-10 D 9-14;2018-1413
Centro educativo;Privada;066;Griñón;https://www.wikidata.org/wiki/Q1772237;Avda De La Paz 10  ;28971;EDIFICIO DIRECCIÓN COLEGIO VILLA DE GRIÑON ;427742;4452632;;2018-1432
Centro educativo;Pública;060;Fuentidueña de Tajo;https://www.wikidata.org/wiki/Q1228889;Calle De La Virgen De Alarilla 10  ;28597;EN LA ENTRADA CEIP ALARILLO AYUNTAMIENTO DE FUENTIDUEÑA DEL TAJO;486272;4440685;9 A 14;2018-1457
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Gran Vía De Hortaleza 0  ;;EN COLUMNA JUNTO A TRAVELATOR 8ESCALERA MECANICA) HACIA 1ª PLANTA CENTRO COMERCIAL GRANVIA DE HORTALEZA;445591;4480065;;2018-1520
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Avda De Bruselas 21  ;28109;JUNTO A PUERTA DE ENTRADA A GERENCIA Y BUZONES DE INQUILINOS HERON DIVERSIA. ENTRANDO POR PASILLO ENTRE BURGUER Y PARKING;445891;4486811;24H;2018-1524
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Camilo José Cela 2  ;28232;EN EL HALL DE ENTRADA DE LAS OFICINAS DE GERENCIA Y SEGURIDAD CENTRO DE OCIO HERON CITY;424027;4485358;24 H;2018-1525
Instalaciones de transporte;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Plaza Del 11 De Marzo 0  ;28807;EN EL HALL RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;469005;4482109;;2018-1526
Instalaciones de transporte;Pública;007;Alcorcón;https://www.wikidata.org/wiki/Q10372;Avda De Móstoles 4  ;28922;JUNTO A TAQUILLA 40 RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;429368;4466947;;2018-1528
Instalaciones de transporte;Pública;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Plaza De La Estación 0  ;28760;PASADOS TORNOS PARED DCHA. RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;439440;4494457;;2018-1559
Instalaciones de transporte;Pública;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle Del Marqués De La Valdavia 0  ;28100;AL LADO DE TAQUILLA RENFE VIEJEROS SOCIEDAD MERCANTIL ESTATAL;444619;4488717;;2018-1560
Centro educativo;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle Del Camino Ancho 83  ;28109;EN POLIDEPORTIVO. EN DEPARTAMENTO DE DEPORTES. COLEGIO LOS SAUCES LA MORALEJA;446574;4486599;;2018-1568
Centro educativo;Privada;152;Torrelodones;https://www.wikidata.org/wiki/Q542958;Avda Del Lago 27  ;28250;ENTRADA A LA SALA DE PROFESORES COLEGIO LOS SAUCES TORRELODONES;423954;4491233;;2018-1569
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Camino De Santiago 40 Baja ;28050;PLANTA BAJA - EDIFICIO 2, JUNTO A CENTRO DE CONTROL Y SERVICIOS GENERALES;443094;4484202;24 HORAS;2018-1575
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Isla Soledad 2  ;28035;cerca de la puerta principal ;438567;4479920;;2018-1578
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Sebastián Herrera 12  ;28012;CENTRO DE FORMACIÓN DEL SINDICATO COMISIONES OBRERAS DE MADRID ;440677;4472818;;2018-1579
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Sepúlveda 3 1ª ;28011;PAIDESPORT CENTER OCIOSPORT CONSULTING S.L.;438355;4473166;L-V 8:30-23:00 S: 10:00-18:00 D 10:00-15:00;2018-1248
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Poeta Joan Maragall 43  ;28020;HALL APARTHOTEL MELIA CASTILLA;441316;4479197;;2018-1249
Centro educativo;Pública;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Calle Rosa Luxemburgo 2  ;28500;PABELLON DE SERVICIOS - PTA BAJA  - CONSERJERIA ;462131;4461706;07:00 A 19:00H ;2018-1274
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Aragón 328  ;28022;POLIGO INDUSTRIAL LAS MERCEDES ENTRADA PRINCIPAL ZONA RECEPCION;450424;4477802;24 H;2018-1283
Establecimiento dependiente de una Administración Pública;Pública;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Sect Literatos 12  ;28760;CASA DE LA JUVENTUD VESTIBULO DE ENTRADA;439848;4495444;8:00 A 22:00;2018-1289
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 135 4ª ;28002;FERROVIAL CORPORACIÓN S.A. ;442442;4477250;;2018-1302
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 135 Baja ;28002;FERROVIAL CORPORACIÓN S.A. ;442442;4477250;;2018-1304
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Bruselas 36  ;28028;hall de la repcepcion ;445558;4487674;;2018-1379
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 187  ;28002;pta 5ª edificio Principal - vestibulo en salida norte del edifici ;442483;4477638;;2018-1447
Establecimiento dependiente de una Administración Pública;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda De Meco 1  ;28805;DESFIBRILADOR PORTATIL EN COCHE POLÍCIA. EDIFICIO CONJUNTO JEFATURA POLICIA LOCALY COMISARIA POLICIA NACIONAL;469719;4482597;24H;2018-1446
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 187  ;28002;SOTANO 1 - PASILLO ACCESO AL GIMNASIO ;442482;4477686;24 HORAS/7 DIAS SEMANA;2018-1448
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Tutor 35  ;28008;SEDE FUNDACION FUNDACION UNIVERSITARIA SAN PABLO CEU;439223;4475618;8:30 - 19:00;2018-1455
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Tutor 35 4ª ;28008;SEDE FUNDACIÓN VNIVERSITAS SENIORIBVS FUNDACION UNIVERSITARIA SAN PABLO CEU;439223;4475618;8:30 - 19:00;2018-1468
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Doctor Esquerdo 57  ;28007;AL FINAL DE LA ESCALERA PRINCIPAL FAIN ASCENSORES S.A.;443266;4474631;8-19;2018-1493
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Puerto De Pozazal 29  ;28031;A LA ENTRADA DE LA OFICINA EN EL PATIO DE LA NAVE FAIN ASCENSORES S.A.;446447;4470075;L A V 9-18;2018-1494
Instalaciones de transporte;Pública;038;Cercedilla;https://www.wikidata.org/wiki/Q1646215;Calle De Emilio Serrano 43  ;28470;VESTÍBULO PPAL PADRE SALIDA ANDENES RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;409999;4510182;;2018-1535
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Tomelloso 0  ;28026;PASILLO DE SALIDA 12 DE OCTUBRE JUNTO A CUARTO TÉCNICO. RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;440722;4470025;;2018-1537
Instalaciones de transporte;Pública;065;Getafe;https://www.wikidata.org/wiki/Q8802;Avda Del Casar 0  ;28903;PARED ACCESO A OFICINAS JUNTO A TAQUILLA RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;439684;4463350;;2018-1538
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Las Fuerzas Armadas 404  ;28055;TORNOS ENTRADA RECEPCIÓN Edificio Oficinas Ciudad Real Madrid - RECEPCIÓN;448081;4481418;24 HORAS;2018-1573
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Federico Salmón 13 1 ;28016;PLANTA PRIMERA, ENTRADA A COMEDOR, FRENTE A CAFETERÍA. ;443340;4479320;24;2018-1574
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Maestro Victoria 3 Calle ;28013;EN LA RECEPCIÓN COLEGIO APAREJADORES Y ARQUITECTOS TÉCNICOS MADRID;440137;4474378;L A V 8-15;2018-1585
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;080;Majadahonda;https://www.wikidata.org/wiki/Majadahonda;Calle Fresa 2  ;28222;ENTRADA PUERTA PRINCIPAL, A LA DERECHA CENTRO COMERCIAL EQUINOCCIO;425854;4478666;HORARIO CENTRO COMERCIAL;2018-1586
Centro de trabajo con más de 250 trabajadores;Privada;009;Algete;https://www.wikidata.org/wiki/Q472604;Calle De Las Navas 4  ;28119;GARITA PERSONAL DE SEGURIDAD ;453911;4493521;7:00 - 16:30;2018-1590
Centro de trabajo con más de 250 trabajadores;Privada;009;Algete;https://www.wikidata.org/wiki/Q472604;Calle De La Pelaya 9  ;28119;GARITA PERSONAL DE SEGURIDAD CALLE PELAYA, 9 ;454021;4493477;24 HORAS;2018-1592
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Fernando El Católico 49  ;28015;PATIO CUBIERTO - PTA BAJA FUNDACIÓN LASALLE SAN RAFAEL;439534;4476190;08.00 A 17:30H ;2018-1273
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Las Fuerzas Armadas 404  ;28055;RECEPCION EDIFICIO RESIDENCIA CANTERA REAL MADRID CLUB DE FUTBOL;447817;4481407;;2018-1315
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4 1ª ;28223;PASILLO ACCESO INFORMATIVOS FRENTE ACCESO REDACCIÓN CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1328
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4 1ª ;28223;PASILLO CENTRAL JUNTO A PASARELA ACCESO A VESTUARIOS CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1329
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4 3ª ;28223;ASCENSOR PROXIMO A CONTROL CENTRAL EDIFICIO CORONA CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1330
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4 Baja ;28223;RECEPCIÓN ACCESO PRINCIPAL EDIFICIO LADO DERECHO CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1331
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Radio Y Televisión 4 1ª ;28223;JUNTO A ASCENSORES EDIFICIO E.P.R. CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA;433066;4473592;;2018-1333
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Vestibulo Principal Lado Izquierdo. Torre España 92 Baja ;;CORPORACION RADIO TELEVISIÓN ESPAÑOLA;443782;4474682;;2018-1334
Otros;Privada;067;Guadalix de la Sierra;https://www.wikidata.org/wiki/Q55482;Cmno Majalgar 1  ;28794;COMPLEJO DEPORTIVO VIRGEN DEL ESPINAR ;442392;4515256;;2018-1356
Otros;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle José Echegaray 8 1ª ;28232;PARQUE EMPRESARIAL ALVIA. ALLOT COMMUNICATIONS SPAIN SLU;424630;4486168;L A V 8-18;2018-1364
Otros;Privada;067;Guadalix de la Sierra;https://www.wikidata.org/wiki/Q55482;Calle Eras Abajo 3  ;28794;POLIDEPORTIVO MUNICIPAL ;441259;4515035;LUNES A VIERNES 16:30 A 21:30;2018-1381
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Gran Vía De Hortaleza 3 0 ;28033;EDIFICIO MAGDALENA BANCO DE SANTANDER;444083;4479792;;2018-1401
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Gran Vía De Hortaleza 3 2ª ;28033;BANCO DE SANTANDER ;444083;4479792;;2018-1402
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Gran Vía De Hortaleza 3  ;28033;EN EL SERVICIO MÉDICO BANCO DE SANTANDER;444083;4479792;;2018-1403
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Emilia 12 Baja ;28029;RECEPCIÓN AGENCIA DE VIVIENDA SOCIAL DE LA COMUNIDAD DE MADRID;441198;4480051;L A V 8-15;2018-1410
Otros;Privada;009;Algete;https://www.wikidata.org/wiki/Q472604;Calle Del Nogal 2  ;28119;EN SALA DE URGENCIAS JUNTO A CARRO DE PARADA Y DISPOSITIVO 112 CLÍNICA ALGETE;455841;4493842;L A J 8-20 V 8-19 S 9-13.30;2018-1430
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 187  ;28002;PTA 11- edif. PRINCIPAL- JUNTO AL PUESTO RECEPCIONISTA ;442483;4477638;24 HORAS /7 DIAS A LA SEMANA;2018-1449
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Niceto Alcalá Zamora 43  ;28050;COLEGIO CEU SAN CHINARRO FUNDACIÓN UNIVERSITARIA SAN PABLO CEU;444834;4482908;8:30 - 19:00;2018-1469
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Estafeta   ;28041;CASETA DE ENTRADA A LA DERECHA PISCINA MUNICIPAL SANFERMÍN. AYTO. MADRID;441162;4469645;;2018-1497
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Juan José Martínez Seco 0  ;28021;PASADOS TORNOS PRED DCHA JUNTO A TAQUILLAS RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;441914;4467118;;2018-1562
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Estación 0  ;28024;VESTÍBULO PRINCIPÀL, AL LADO DE LA TAQUILLA RENFE VIAJEROS EMPRESA MERCANTIL ESTATAL;414798;4497741;;2018-1563
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Suero De Quiñones 34 Baja ;28002;PLANTA BAJA - RECEPCIÓN ;442575;4477573;;2018-1577
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Camino De Santiago 40  ;28050;UBICADO EN LA PLANTA 3- EDFICIO 3- HALL DE ASCENSORES ;443094;4484202;24 HORAS;2018-1581
Otros;Privada;041;Cobeña;https://www.wikidata.org/wiki/Q659582;Calle En La Fachada Entre Nave Antigua Y Nueva. 3  ;;AVANCE CARTÓN ONDULADO S.L.;457591;4489640;24 H;2018-1584
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;080;Majadahonda;https://www.wikidata.org/wiki/Majadahonda;Calle De Los Matemáticos 7  ;28220;EN LA ENTRADA DE LA TIENDA FRENTE A CAJA CENTRAL BRICODEPOT MAJADAHONDA;423961;4482270;7-22;2018-1593
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De Pablo Ruiz Picasso 1 33 ;28020;TORRE PICASSO HSBC BANK PLC SUCURSAL EN ESPAÑA;441253;4477965;24H;2018-1257
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;https://www.wikidata.org/wiki/Q8802;Calle Río Almanzora 4 0 ;28906;INSTALACIONES DHL PARCEL SPAIN. ÁREA EMPRESARIAL ANDALUCÍA SECTORES 7 Y 8.  ANEK S3L;439649;4457863;24 H;2018-1265
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Ctra De La Dehesa De La Villa 0 Baja ;;HALL DE ENTRADA JUNTO SALIDA EMERGENCIA LATERAL IZDA CORPORACIÓN RADIOTELEVISIÓN ESPAÑOLA;437971;4478635;;2018-1313
Centro educativo;Privada;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Avda Salvador Dalí 3  ;28850;HUMANITAS BILINGUAL SCHOOL ;462452;4478303;7-20.30;2018-1327
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De Pablo Ruiz Picasso 1 8 ;28020;zona descanso SOCIETE GENERALE;441254;4477963;24 HORAS;2018-1352
Centro educativo;Privada;106;Parla;https://www.wikidata.org/wiki/Q824651;Calle Planeta Júpiter 2  ;28983; AQUILA S.C.M.;435324;4452358;;2018-1362
Centro educativo;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Rozabella 2 Baja ;28290;COMPLEJO EUROPA EMPRESARIAL EDIFICIO BERLLIN U-TAD CENTRO DIGITAL SL;424325;4488128;24 H;2018-1372
Instalaciones de transporte;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Miguel Fleta 4  ;28037; NEX CONTINENTAL HOLDINGS SLU;446402;4475829;;2018-1382
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Gran Vía De Hortaleza 3  ;28033;EDIFICIO PEDREÑA BANCO DE SANTANDER;444083;4479792;;2018-1394
Centro de trabajo con más de 250 trabajadores;Pública;152;Torrelodones;https://www.wikidata.org/wiki/Q542958;Calle A La Derecha De La Entrada, Tras Mostradores Recepcion Km 29  ;28250;CASINO DE JUEGO GRAN MADRID;421611;4491849;16-6;2018-1492
Instalaciones de transporte;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle De Luis Braille 0  ;28822;HALL INFERIOR, JUNTO A TAQUILLA RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;452405;4474943;;2018-1536
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Domingo Párraga 46  ;28021;ENTRADA PPAL. PARED DCHA. TAQUILLAS RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL;439579;4465892;;2018-1561
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Camino De Santiago 40  ;28050;UBICADO EN PLANTA 3 EDIFICIO 1, HALL DE ASCENSORES ;443094;4484202;24 HORAS;2018-1582
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Bravo Murillo 376  ;28020;CENTRO DEPORTIVO MUNICIPAL. EN EL HALL DE ENTRADA TRIÁNGULO DE ORO. AYTO. MADRID;441270;4479613;;2018-1588
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Poeta Esteban De Villegas 8  ;28014;HALL DE ENTRADA ;442202;4473265;24 HORAS;2018-1603
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De Carlos Trias Bertrán 7 7ª ;28020;EDIFICIO SOLLUBE RECEPCIÓN PAREXEL PAREXEL INTERNATIONAL;441164;4478015;8.30-17.30;2018-1604
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Cantabria 1  ;28042;ESCUELA DE GOLF OFICINA DE MC CLAIN 40,393581 - 3,867732 ;426357;4471804;;2018-1605
Centro educativo;Privada;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Calle Rosas   ;28223;CAPILLA COLEGIO MASCULINO EVEREST SCHOOL;428308;4477032;;2018-1250
Centro educativo;Privada;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda De Monteclaro 1  ;28223;ADMINISTRACION CENTRAL EVEREST SCHOOL;428195;4477136;;2018-1252
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Velázquez 140 Baja ;28006;CIS THE COLLEGE FOR INTERNATIONAL STUDIES ;442122;4476900;9:00 - 17:00;2018-1254
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;074;Leganés;https://www.wikidata.org/wiki/Q77433;Avda Gran Bretaña   ;28916;SALA PRINCIPAL PAIDESPORT CENTER. C. C. PARQUE SUR;437950;4465764;L-V 8:30-23:00 S 10:00-18:00 D 10:00- 15:00;2018-1255
Establecimiento dependiente de una Administración Pública;Pública;060;Fuentidueña de Tajo;https://www.wikidata.org/wiki/Q1228889;Plaza De La Caserna 3  ;28597;EDIFICIO AYUNTAMIENTO ATYNTAMIENTO FUENTIDUEÑA DE TAJO;486606;4440975;8-15 DIAS LABORALES;2018-1267
Establecimiento dependiente de una Administración Pública;Pública;060;Fuentidueña de Tajo;https://www.wikidata.org/wiki/Q1228889;Avda De Los Abogados De Atocha S/n  ;28597;"PABELLÓN CUBIERTO ""3 DE ABRIL"" AYUNTAMIENTO FUENTIDUEÑA DE TAJO";486059;4440458;HORARIO DE APERTURA;2018-1270
Establecimiento dependiente de una Administración Pública;Pública;060;Fuentidueña de Tajo;https://www.wikidata.org/wiki/Q1228889;Avda De Elena Soriano 3  ;28597;CENTRO DE LA TERCERA EDAD AYUNTAMIENTO DE FUENTIDUEÑA DEL TAJO;486184;4441004;L A V DE 15.30-19.30;2018-1286
