"CÓDIGO
APAR";APARCAMIENTO;"PRECIO
PROMEDIO";"PRECIO
MÍNIMO";"PRECIO
MÁXIMO";"GAMA
PRECIOS";"*INI
CONCESIÓN";"FIN
CONCESIÓN";"AÑOS
RESTANTES"
906;VALLADOLID;5.984,06 €;2.889,60 €;18.129,07 €;45;30/06/1993;30/06/2043;20
510;VALPARAISO;6.099,65 €;524,32 €;9.925,59 €;27;14/01/1994;14/01/2044;21
424;VELÁZQUEZ AYALA;8.364,63 €;821,15 €;23.348,56 €;17;1/06/1998;1/06/2048;25
423;VELÁZQUEZ JORGE JUAN;8.854,17 €;7.572,55 €;17.600,49 €;90;1/06/1998;1/06/2048;25
1524;VERDAGUER Y GARCÍA;13.163,62 €;12.176,11 €;15.461,26 €;21;1/03/2003;1/03/2053;30
1110;VÍA CARPETANA;14.879,41 €;4.644,92 €;27.906,28 €;107;19/02/2000;19/02/2075;52
611;VICENTE GACEO;6.100,65 €;1.068,69 €;9.743,20 €;37;12/12/1992;12/12/2042;20
1603;VILLA ROSA (PEDROÑERAS);3.898,35 €;3.679,93 €;6.139,74 €;5;27/06/1987;27/06/2037;14
1901;VILLACARLOS;4.345,77 €;3.733,07 €;5.612,92 €;21;2/10/1991;2/10/2041;19
1514;VILLAESCUSA;5.542,81 €;4.890,63 €;10.329,70 €;15;15/10/1991;15/10/2041;19
1003;VILLAMANÍN I;4.487,02 €;3.412,36 €;8.523,25 €;13;24/05/1988;24/05/2038;15
1011;VILLAMANÍN II;5.460,14 €;1.990,98 €;11.667,10 €;14;25/10/1993;25/10/2043;21
820;VIRGEN DE ARÁNZAZU;10.273,64 €;8.713,88 €;19.622,41 €;48;13/07/2001;13/07/2051;28
1510;VIRGEN DE LA ALEGRÍA;4.246,79 €;3.863,46 €;7.518,08 €;13;15/01/1990;15/01/2040;17
1502;VIRGEN DE LA ROCA I;4.136,86 €;3.948,72 €;7.960,60 €;7;23/10/1987;23/10/2037;15
1503;VIRGEN DE LA ROCA II;3.926,94 €;3.700,90 €;6.217,46 €;9;20/05/1987;20/05/2037;14
1521;VIRGEN DE LOURDES;11.032,88 €;9.958,83 €;33.864,63 €;32;30/10/1995;30/10/2070;48
206;VIRGEN DEL PUERTO;8.156,53 €;7.607,20 €;22.926,06 €;71;30/06/1993;30/06/2043;20
1525;VIRGEN DEL ROMERO;12.453,02 €;3.742,24 €;13.234,55 €;13;1/04/2011;1/04/2051;28
1104;VISTA ALEGRE;4.839,30 €;1.093,08 €;8.012,47 €;40;15/04/1992;15/04/2042;19
1508;VITAL AZA;3.900,87 €;3.646,62 €;6.368,80 €;9;13/02/1989;13/02/2039;16
